,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
515743,A-515749,3,2019-12-28 19:21:27,2019-12-28 20:59:45,35.219066999999995,-90.209091,Marion,AR,65.0,97.0,8.0,Light Rain
519648,A-519654,3,2019-12-31 15:18:04,2019-12-31 19:27:08,35.147789,-90.297913,Marion,AR,51.0,41.0,10.0,Fair
525566,A-525572,3,2019-12-03 07:11:39,2019-12-03 08:42:31,35.14864,-90.33560899999999,Crawfordsville,AR,32.0,96.0,10.0,Fair
533369,A-533377,2,2019-12-06 08:06:25,2019-12-06 09:06:13,35.137974,-90.09545899999999,West Memphis,AR,49.0,100.0,3.0,Mostly Cloudy
533506,A-533514,3,2019-12-06 13:07:26,2019-12-06 13:52:53,33.996223,-93.184502,Gurdon,AR,67.0,47.0,10.0,Fair
543251,A-543259,2,2019-12-11 08:04:57,2019-12-11 09:04:45,35.275604,-90.44986,Earle,AR,31.0,92.0,10.0,Fair
546123,A-546131,2,2019-12-12 07:32:09,2019-12-12 08:46:57,35.192130999999996,-90.18708000000001,Marion,AR,35.0,85.0,9.0,Fair
548877,A-548885,2,2019-12-13 08:01:11,2019-12-13 09:00:55,35.19376,-90.199722,Marion,AR,45.0,100.0,0.5,Fog
550140,A-550148,2,2019-12-14 21:56:14,2019-12-14 22:56:14,35.136459,-91.81444499999999,Mc Rae,AR,43.0,86.0,10.0,Mostly Cloudy
555898,A-555906,2,2019-12-17 08:23:10,2019-12-17 09:52:58,35.256981,-90.38229399999999,Crawfordsville,AR,34.0,89.0,5.0,Cloudy
558262,A-558270,4,2019-12-18 18:36:24,2019-12-18 19:05:34,34.778759,-92.203339,North Little Rock,AR,38.0,65.0,10.0,Fair
558553,A-558561,3,2019-12-18 06:22:06,2019-12-18 08:58:20,35.156628000000005,-90.128059,West Memphis,AR,25.0,96.0,5.0,Fair
558560,A-558568,2,2019-12-18 06:43:09,2019-12-18 07:42:52,35.193771000000005,-90.197884,Marion,AR,25.0,96.0,5.0,Fair
574850,A-574859,2,2019-10-08 07:46:41,2019-10-08 09:01:31,35.2113,-90.209503,Marion,AR,54.0,93.0,10.0,Fair
586712,A-586721,2,2019-10-14 06:59:16,2019-10-14 07:59:05,35.264179,-90.32618000000001,Crawfordsville,AR,46.0,100.0,0.25,Fog
591889,A-591898,2,2019-10-16 07:42:51,2019-10-16 09:06:29,34.886547,-92.107597,Jacksonville,AR,50.0,71.0,10.0,Fair
601563,A-601572,2,2019-10-21 07:59:33,2019-10-21 08:59:18,35.175652,-90.193611,Marion,AR,64.0,100.0,7.0,Light Rain
609578,A-609587,4,2019-10-24 10:28:49,2019-10-24 12:58:43,35.763577000000005,-94.191963,Winslow,AR,51.0,96.0,5.0,Rain
614265,A-614274,3,2019-10-27 06:37:46,2019-10-27 08:55:11,34.202595,-91.967438,Pine Bluff,AR,55.0,89.0,10.0,Cloudy
621493,A-621502,2,2019-10-30 05:47:52,2019-10-30 07:02:37,35.256981,-90.38229399999999,Crawfordsville,AR,61.0,97.0,10.0,Cloudy
627084,A-627093,4,2019-11-01 12:00:29,2019-11-01 16:39:02,34.413174,-92.805817,Malvern,AR,49.0,44.0,10.0,Fair
635818,A-635827,4,2019-11-06 02:19:00,2019-11-06 08:02:55,34.618797,-92.498306,Bryant,AR,50.0,80.0,10.0,Cloudy
638973,A-638982,2,2019-11-07 06:39:14,2019-11-07 07:39:04,35.21397,-90.210899,Marion,AR,56.0,100.0,4.0,Light Rain
657862,A-657871,2,2019-11-15 07:45:14,2019-11-15 09:02:00,35.210789,-90.188629,Marion,AR,34.0,89.0,7.0,Fair
657863,A-657872,2,2019-11-15 07:48:32,2019-11-15 08:47:58,35.199841,-90.208107,Marion,AR,34.0,89.0,7.0,Fair
664574,A-664583,4,2019-11-19 13:23:48,2019-11-19 18:17:37,33.904121,-93.29604300000001,Okolona,AR,71.0,30.0,10.0,Fair
672868,A-672877,4,2019-11-22 05:15:26,2019-11-22 07:52:36,35.673325,-94.164772,Chester,AR,41.0,96.0,4.0,T-Storm
672988,A-672997,2,2019-11-22 04:51:04,2019-11-22 05:50:46,35.175831,-90.22421999999999,Marion,AR,60.0,100.0,2.0,Rain
679896,A-679905,2,2019-11-26 06:06:20,2019-11-26 07:41:45,35.210381,-90.209099,Marion,AR,56.0,75.0,10.0,Cloudy
682442,A-682451,3,2019-11-27 07:56:56,2019-11-27 08:57:50,35.135269,-90.086838,West Memphis,AR,48.0,56.0,10.0,Fair
688492,A-688501,2,2019-09-30 07:38:03,2019-09-30 08:37:51,35.193771000000005,-90.19191,Marion,AR,75.0,90.0,8.0,Fair
688495,A-688504,2,2019-09-30 07:48:21,2019-09-30 08:48:05,35.190319,-90.22225999999999,Marion,AR,75.0,90.0,8.0,Fair
693296,A-693305,2,2019-10-02 08:07:59,2019-10-02 09:07:41,35.17308,-90.184647,West Memphis,AR,73.0,93.0,8.0,Fair
695716,A-695725,4,2019-10-03 15:16:46,2019-10-03 15:46:17,34.810238,-92.357376,North Little Rock,AR,90.0,52.0,10.0,Partly Cloudy
698399,A-698408,2,2019-10-04 08:00:40,2019-10-04 09:00:24,35.263359,-90.25496700000001,Crawfordsville,AR,66.0,73.0,10.0,Fair
699548,A-699557,3,2019-10-05 02:31:37,2019-10-05 03:19:36,34.777538,-92.242699,North Little Rock,AR,66.0,60.0,10.0,Cloudy
711044,A-711053,4,2019-09-24 12:47:39,2019-09-24 14:15:01,35.514851,-93.81796999999999,Ozark,AR,72.0,93.0,10.0,Mostly Cloudy
715402,A-715411,2,2019-09-26 17:01:42,2019-09-26 18:03:15,36.062698,-94.149757,Fayetteville,AR,77.0,69.0,10.0,Fair
721951,A-721960,4,2019-09-02 07:09:12,2019-09-02 08:52:30,34.786644,-92.281975,North Little Rock,AR,71.0,100.0,10.0,Fair
723946,A-723955,3,2019-09-03 20:51:17,2019-09-03 22:12:03,34.736149,-92.394875,Little Rock,AR,78.0,100.0,10.0,Fair
726075,A-726084,3,2019-09-04 22:28:49,2019-09-04 22:58:19,34.67942,-92.354927,Little Rock,AR,79.0,82.0,10.0,Fair
730920,A-730929,3,2019-09-06 08:18:20,2019-09-06 09:03:20,34.765972,-92.262077,North Little Rock,AR,77.0,90.0,7.0,Fair
740051,A-740060,2,2019-09-11 06:46:40,2019-09-11 08:02:03,35.175591,-90.18457,West Memphis,AR,75.0,94.0,6.0,Cloudy
742632,A-742641,2,2019-09-12 05:29:46,2019-09-12 07:34:20,35.179199,-90.200912,Marion,AR,75.0,94.0,8.0,Fair
742650,A-742659,2,2019-09-12 15:28:02,2019-09-12 16:12:47,35.806389,-90.615593,Jonesboro,AR,95.0,38.0,10.0,Fair
753180,A-753189,3,2019-08-18 19:37:28,2019-08-18 20:37:07,35.393066,-90.271675,Turrell,AR,78.0,90.0,10.0,Fair
757229,A-757238,2,2019-08-20 05:20:18,2019-08-20 06:35:27,35.176079,-90.255219,Marion,AR,76.0,97.0,8.0,Fair
767343,A-767352,2,2019-08-26 06:42:08,2019-08-26 08:12:59,34.907001,-90.29418199999999,Hughes,AR,75.0,100.0,10.0,Cloudy
769818,A-769827,2,2019-08-27 07:32:54,2019-08-27 08:47:52,35.20932,-90.205437,Marion,AR,73.0,90.0,10.0,Fair
771813,A-771822,4,2019-08-28 10:22:48,2019-08-28 11:36:17,34.74688,-92.371628,Little Rock,AR,80.0,56.0,10.0,Fair
781305,A-781314,4,2019-07-02 09:31:45,2019-07-02 10:55:14,34.559864000000005,-92.613617,Benton,AR,78.0,84.0,10.0,Mostly Cloudy
798436,A-798445,2,2019-07-12 07:11:51,2019-07-12 08:58:41,35.10516,-90.293442,Proctor,AR,75.0,90.0,9.0,Fair
804097,A-804106,2,2019-07-16 09:15:18,2019-07-16 09:45:06,35.069038,-91.924316,Beebe,AR,74.0,100.0,10.0,Cloudy
819125,A-819134,4,2019-07-24 19:34:04,2019-07-24 22:02:39,36.193290999999995,-94.179955,Springdale,AR,79.0,51.0,10.0,Fair
827140,A-827149,2,2019-07-29 07:28:16,2019-07-29 08:27:58,35.160095,-90.226158,Marion,AR,78.0,84.0,10.0,Fair
829113,A-829122,2,2019-07-30 04:14:47,2019-07-30 06:33:28,35.24992,-90.374374,Crawfordsville,AR,72.0,100.0,10.0,Partly Cloudy
831207,A-831216,2,2019-07-31 05:25:55,2019-07-31 06:25:23,35.389621999999996,-90.277191,Gilmore,AR,72.0,100.0,0.25,Fog
831209,A-831218,2,2019-07-31 06:42:22,2019-07-31 07:42:09,35.231949,-90.212822,Marion,AR,72.0,100.0,0.25,Fog
831210,A-831219,2,2019-07-31 06:54:14,2019-07-31 07:53:57,35.231891999999995,-90.213409,Marion,AR,72.0,100.0,0.0,Fog
841200,A-841209,3,2019-08-06 13:05:14,2019-08-06 13:49:44,34.745022,-92.334213,Little Rock,AR,91.0,53.0,10.0,Mostly Cloudy
847041,A-847050,4,2019-08-08 17:16:19,2019-08-08 18:16:26,34.673161,-92.372566,Little Rock,AR,89.0,57.0,10.0,Cloudy
851672,A-851681,4,2019-08-12 17:24:46,2019-08-12 17:54:15,34.676411,-92.364464,Little Rock,AR,94.0,51.0,10.0,Fair
861606,A-861615,2,2019-08-16 07:57:56,2019-08-16 08:57:40,35.197410999999995,-90.192932,Marion,AR,76.0,85.0,10.0,Fair
866493,A-866502,4,2019-06-04 10:53:06,2019-06-04 11:56:42,34.727371000000005,-92.264809,Little Rock,AR,82.0,69.0,10.0,Mostly Cloudy
