,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
194261,A-194263,2,2016-11-30 15:56:34,2016-11-30 17:13:41,41.17836,-73.165665,Bridgeport,CT,53.1,93.0,1.5,Heavy Rain
194282,A-194284,2,2016-11-30 17:33:05,2016-11-30 18:02:43,41.121334000000004,-73.406853,Norwalk,CT,52.0,89.0,4.0,Light Rain
194324,A-194326,3,2016-12-01 02:19:04,2016-12-01 02:48:09,41.287807,-72.60228000000001,Madison,CT,50.0,100.0,0.2,Light Drizzle
194328,A-194330,3,2016-12-01 04:37:17,2016-12-01 05:06:41,41.761162,-72.698341,Hartford,CT,46.9,97.0,9.0,Light Rain
194334,A-194336,2,2016-12-01 06:00:57,2016-12-01 06:28:57,41.094528000000004,-73.632339,Greenwich,CT,48.9,86.0,10.0,Mostly Cloudy
194337,A-194339,2,2016-12-01 06:25:40,2016-12-01 06:54:48,41.180119,-73.194717,Bridgeport,CT,51.1,83.0,10.0,Scattered Clouds
194352,A-194354,2,2016-12-01 07:08:56,2016-12-01 07:38:36,41.711781,-72.587303,Glastonbury,CT,44.1,100.0,1.5,Clear
194358,A-194360,3,2016-12-01 07:19:56,2016-12-01 08:19:18,41.899196999999994,-72.63913000000001,Windsor Locks,CT,45.0,93.0,10.0,Scattered Clouds
194377,A-194379,2,2016-12-01 07:43:29,2016-12-01 08:12:48,41.234790999999994,-73.072212,Milford,CT,52.0,80.0,10.0,Clear
194378,A-194380,2,2016-12-01 07:45:02,2016-12-01 08:14:46,41.633381,-72.752312,Berlin,CT,46.0,93.0,2.0,Mostly Cloudy
194379,A-194381,3,2016-12-01 07:41:23,2016-12-01 08:11:07,41.8055,-72.614662,South Windsor,CT,46.0,100.0,10.0,Clear
194391,A-194393,2,2016-12-01 08:05:09,2016-12-01 08:34:48,41.396175,-73.07437900000001,Seymour,CT,46.4,81.0,10.0,Scattered Clouds
194392,A-194394,3,2016-12-01 08:00:58,2016-12-01 08:30:37,41.365726,-72.921837,Hamden,CT,48.9,93.0,10.0,Clear
194393,A-194395,3,2016-12-01 07:56:57,2016-12-01 08:25:39,41.730232,-72.664612,Hartford,CT,46.0,100.0,10.0,Clear
194410,A-194412,2,2016-12-01 08:14:19,2016-12-01 08:43:32,41.66843,-72.82441700000001,Plainville,CT,48.9,86.0,10.0,Mostly Cloudy
194411,A-194413,3,2016-12-01 08:18:57,2016-12-01 09:18:33,41.295596999999994,-72.76355,Branford,CT,48.9,93.0,10.0,Clear
194418,A-194420,2,2016-12-01 08:38:23,2016-12-01 09:08:01,41.310970000000005,-72.92379,New Haven,CT,51.1,83.0,10.0,Clear
