,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
228625,A-228627,2,2016-11-30 20:35:42,2016-11-30 21:05:21,38.888493,-77.05233,Washington,DC,59.0,93.0,10.0,Overcast
228645,A-228647,2,2016-12-01 05:29:50,2016-12-01 06:16:06,38.902522999999995,-77.00904799999999,Washington,DC,54.0,62.0,10.0,Clear
228653,A-228655,2,2016-12-01 06:20:45,2016-12-01 07:04:52,38.882065000000004,-77.027855,Washington,DC,54.0,62.0,10.0,Clear
228685,A-228687,2,2016-12-01 07:32:10,2016-12-01 08:16:08,38.961742,-77.042847,Washington,DC,50.0,58.0,10.0,Clear
228693,A-228695,2,2016-12-01 07:47:34,2016-12-01 08:16:42,38.929035,-77.073746,Washington,DC,53.1,59.0,10.0,Partly Cloudy
228718,A-228720,2,2016-12-01 08:45:49,2016-12-01 09:30:24,38.962536,-77.03643000000001,Washington,DC,50.0,54.0,10.0,Clear
228793,A-228795,2,2016-12-01 15:40:43,2016-12-01 16:09:58,38.940205,-77.083946,Washington,DC,55.0,43.0,10.0,Scattered Clouds
229228,A-229230,2,2016-12-05 06:50:16,2016-12-05 07:35:04,38.894791,-77.01409100000001,Washington,DC,42.1,96.0,10.0,Overcast
229267,A-229269,2,2016-12-05 08:01:24,2016-12-05 08:45:34,38.877796000000004,-76.979912,Washington,DC,43.0,93.0,10.0,Overcast
229278,A-229280,3,2016-12-05 08:15:39,2016-12-05 09:00:02,38.822533,-77.01664,Washington,DC,43.0,89.0,10.0,Overcast
229345,A-229347,2,2016-12-05 11:05:43,2016-12-05 11:50:24,38.917328000000005,-76.972557,Washington,DC,46.9,83.0,10.0,Partly Cloudy
229401,A-229403,3,2016-12-05 15:33:42,2016-12-05 16:03:14,38.879242,-77.035889,Washington,DC,55.0,51.0,10.0,Mostly Cloudy
229405,A-229407,2,2016-12-05 15:47:26,2016-12-05 16:17:26,38.851760999999996,-77.004395,Washington,DC,55.0,51.0,10.0,Mostly Cloudy
