,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
230362,A-230364,2,2016-12-09 18:08:28,2016-12-09 18:38:28,39.724689,-75.630928,Wilmington,DE,34.0,50.0,10.0,Clear
230749,A-230751,2,2016-12-13 09:19:10,2016-12-13 10:03:43,39.788559,-75.695778,Hockessin,DE,37.9,62.0,10.0,Clear
230783,A-230785,2,2016-12-13 12:07:12,2016-12-13 12:36:44,39.794083,-75.467926,Claymont,DE,41.0,57.0,10.0,Partly Cloudy
231477,A-231479,3,2016-12-16 15:04:40,2016-12-16 15:34:21,39.818886,-75.449989,Claymont,DE,24.1,46.0,10.0,Partly Cloudy
231523,A-231525,3,2016-12-16 17:37:51,2016-12-16 18:07:51,39.696331,-75.570107,New Castle,DE,24.1,51.0,10.0,Mostly Cloudy
231764,A-231766,2,2016-12-19 11:36:52,2016-12-19 12:21:52,39.61824,-75.643555,New Castle,DE,32.0,42.0,10.0,Clear
232458,A-232460,2,2016-12-22 12:34:13,2016-12-22 13:04:02,38.931782,-75.491394,Milford,DE,53.6,44.0,10.0,Partly Cloudy
232827,A-232829,3,2016-12-26 14:38:28,2016-12-26 15:23:28,39.696540999999996,-75.546951,New Castle,DE,44.1,76.0,10.0,Overcast
232945,A-232947,2,2016-12-27 12:02:42,2016-12-27 12:32:42,39.669964,-75.71347800000001,Newark,DE,57.9,87.0,10.0,Overcast
232951,A-232953,3,2016-12-27 12:48:14,2016-12-27 13:48:14,39.686626000000004,-75.647469,Newark,DE,60.1,80.0,10.0,Scattered Clouds
233132,A-233134,3,2016-12-28 11:55:35,2016-12-28 12:25:35,39.651066,-75.720116,Newark,DE,43.0,49.0,10.0,Mostly Cloudy
233592,A-233594,3,2016-12-30 13:41:52,2016-12-30 14:11:52,39.69574,-75.55323800000001,New Castle,DE,39.9,43.0,10.0,Overcast
234149,A-234151,2,2017-01-04 20:05:21,2017-01-04 20:35:21,38.789326,-75.31594100000001,Milton,DE,45.0,33.0,10.0,Clear
234182,A-234184,3,2017-01-05 07:03:56,2017-01-05 07:48:27,39.714287,-75.584213,New Castle,DE,28.0,53.0,10.0,Clear
234828,A-234830,3,2017-01-09 17:23:05,2017-01-09 17:53:05,39.696144,-75.56353,New Castle,DE,21.0,55.0,10.0,Overcast
