,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
160013,A-160015,2,2016-06-21 11:01:36,2016-06-21 11:31:36,41.261047,-95.850868,Council Bluffs,IA,77.0,65.0,10.0,Clear
160015,A-160017,3,2016-06-21 12:11:33,2016-06-21 12:41:33,41.145363,-95.214226,Red Oak,IA,80.6,70.0,10.0,Clear
160045,A-160047,3,2016-06-22 05:04:52,2016-06-22 06:04:52,41.926865,-91.670113,Cedar Rapids,IA,66.9,100.0,2.0,Heavy Thunderstorms and Rain
160052,A-160054,3,2016-06-22 09:24:24,2016-06-22 09:54:24,41.984062,-91.66422299999999,Cedar Rapids,IA,68.0,96.0,10.0,Scattered Clouds
160085,A-160087,2,2016-06-22 19:28:33,2016-06-22 19:58:33,41.268993,-95.881744,Council Bluffs,IA,89.1,57.0,10.0,Mostly Cloudy
160088,A-160090,2,2016-06-22 20:17:51,2016-06-22 20:47:51,42.028503,-91.658287,Cedar Rapids,IA,82.9,88.0,10.0,Clear
160098,A-160100,3,2016-06-23 09:19:30,2016-06-23 10:04:30,41.593426,-93.715424,Windsor Heights,IA,72.0,61.0,10.0,Mostly Cloudy
160126,A-160128,2,2016-06-24 07:11:24,2016-06-24 07:41:24,42.298534000000004,-96.01960799999999,Hornick,IA,64.9,81.0,10.0,Clear
160146,A-160148,2,2016-06-24 14:19:28,2016-06-24 14:49:28,41.244846,-95.827766,Council Bluffs,IA,86.0,62.0,10.0,Scattered Clouds
160157,A-160159,3,2016-06-25 13:26:56,2016-06-25 14:41:56,41.496494,-94.53456899999999,Casey,IA,82.4,70.0,10.0,Clear
160183,A-160185,2,2016-06-28 11:29:41,2016-06-28 11:59:41,41.259632,-95.858932,Council Bluffs,IA,82.9,42.0,10.0,Scattered Clouds
160190,A-160192,3,2016-06-28 14:50:35,2016-06-28 15:35:35,41.592319,-93.777138,West des Moines,IA,82.0,44.0,10.0,Partly Cloudy
160222,A-160224,3,2016-06-29 11:07:41,2016-06-29 11:52:41,41.991015999999995,-91.550308,Marion,IA,70.0,65.0,10.0,Clear
160240,A-160242,2,2016-06-29 18:26:33,2016-06-29 19:56:33,41.629284000000006,-93.736542,Urbandale,IA,80.1,58.0,10.0,Scattered Clouds
160249,A-160251,2,2016-06-30 09:36:32,2016-06-30 10:23:13,41.261913,-95.878349,Council Bluffs,IA,78.1,76.0,10.0,Mostly Cloudy
160267,A-160269,3,2016-06-30 19:27:53,2016-06-30 20:57:53,41.696296999999994,-92.396576,Brooklyn,IA,70.5,78.0,10.0,Scattered Clouds
160271,A-160273,3,2016-07-01 09:05:26,2016-07-01 10:05:26,41.890663,-91.670761,Cedar Rapids,IA,63.0,84.0,10.0,Partly Cloudy
160276,A-160278,2,2016-07-01 11:21:58,2016-07-01 12:06:58,41.493538,-94.241592,Dexter,IA,70.3,62.0,10.0,Scattered Clouds
160284,A-160286,3,2016-07-01 14:22:44,2016-07-01 15:08:50,41.242184,-95.90464,Council Bluffs,IA,79.0,38.0,10.0,Mostly Cloudy
160285,A-160287,3,2016-07-03 09:00:57,2016-07-03 10:15:57,41.493111,-94.318497,Stuart,IA,64.2,82.0,10.0,Clear
160286,A-160288,3,2016-07-03 17:26:17,2016-07-03 18:41:17,41.956013,-91.670692,Cedar Rapids,IA,72.0,66.0,10.0,Overcast
160287,A-160289,3,2016-07-04 12:57:33,2016-07-04 13:27:33,41.685783,-91.564583,Coralville,IA,73.0,76.0,10.0,Overcast
160288,A-160290,3,2016-07-04 13:20:38,2016-07-04 13:50:38,41.877819,-93.571083,Cambridge,IA,70.0,78.0,10.0,Overcast
160295,A-160297,3,2016-07-05 12:24:06,2016-07-05 12:54:06,41.694107,-91.60865,Coralville,IA,81.0,67.0,10.0,Partly Cloudy
160299,A-160301,3,2016-07-05 14:28:46,2016-07-05 15:13:46,41.694107,-91.60865,Coralville,IA,84.9,67.0,10.0,Partly Cloudy
160303,A-160305,2,2016-07-05 16:57:20,2016-07-05 17:42:20,41.813164,-93.911293,Woodward,IA,88.5,73.0,10.0,Scattered Clouds
160304,A-160306,3,2016-07-05 16:58:46,2016-07-05 17:43:46,41.694107,-91.60865,Coralville,IA,86.0,67.0,10.0,Mostly Cloudy
160312,A-160314,3,2016-07-06 07:48:02,2016-07-06 08:35:03,41.23222,-95.851509,Council Bluffs,IA,75.0,76.0,10.0,Mostly Cloudy
160345,A-160347,3,2016-07-07 07:37:10,2016-07-07 08:07:10,41.493538,-94.241592,Dexter,IA,66.2,98.0,10.0,Scattered Clouds
160346,A-160348,3,2016-07-07 07:37:32,2016-07-07 08:07:32,41.691994,-93.246826,Colfax,IA,66.2,100.0,3.0,Overcast
160366,A-160368,2,2016-07-07 17:11:25,2016-07-07 18:41:25,41.614838,-93.77948,Clive,IA,84.9,59.0,10.0,Partly Cloudy
160381,A-160383,3,2016-07-08 05:24:18,2016-07-08 05:54:18,41.5499,-95.91729000000001,Missouri Valley,IA,64.4,94.0,7.0,Clear
160382,A-160384,3,2016-07-08 05:25:15,2016-07-08 05:55:15,41.5499,-95.91729000000001,Missouri Valley,IA,64.2,95.0,5.0,Clear
160383,A-160385,3,2016-07-08 05:32:54,2016-07-08 06:21:25,41.5499,-95.91729000000001,Missouri Valley,IA,64.2,95.0,5.0,Clear
