,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
538285,A-538293,3,2019-12-09 18:12:41,2019-12-09 19:36:57,43.597076,-116.295479,Boise,ID,38.0,73.0,10.0,Mostly Cloudy
583054,A-583063,3,2019-10-11 21:09:33,2019-10-11 22:38:56,47.575344,-116.44207,Cataldo,ID,37.0,70.0,10.0,Fair
619092,A-619101,4,2019-10-29 10:24:00,2019-10-29 15:33:51,42.959869,-115.29079399999999,Glenns Ferry,ID,21.0,100.0,6.0,Light Snow
621825,A-621834,4,2019-10-30 01:28:45,2019-10-30 02:48:09,42.240898,-113.089607,Malta,ID,9.0,73.0,10.0,Fair
631156,A-631165,4,2019-11-04 09:09:05,2019-11-04 09:42:00,43.618275,-116.23818999999999,Boise,ID,39.0,57.0,10.0,Fair
658275,A-658284,2,2019-11-15 11:39:30,2019-11-15 13:57:57,42.983318,-116.097191,Grand View,ID,51.0,55.0,7.0,Fair
658276,A-658285,3,2019-11-15 18:47:50,2019-11-15 19:17:16,43.662471999999994,-116.66023999999999,Caldwell,ID,50.0,57.0,9.0,Cloudy
680275,A-680284,3,2019-11-26 00:28:20,2019-11-26 02:31:00,47.62397,-116.650993,Coeur D Alene,ID,27.0,93.0,4.0,Cloudy
682741,A-682750,3,2019-11-27 12:45:00,2019-11-27 14:16:47,43.830441,-112.194824,Hamer,ID,31.0,67.0,9.0,Cloudy
718080,A-718089,3,2019-09-27 16:05:08,2019-09-27 17:34:54,47.700069,-116.80821200000001,Coeur D Alene,ID,53.0,66.0,10.0,Light Rain
731645,A-731654,2,2019-09-06 06:02:40,2019-09-06 06:47:09,45.677349,-116.30918899999999,White Bird,ID,61.0,100.0,10.0,Cloudy
746216,A-746225,3,2019-09-14 13:11:07,2019-09-14 13:55:50,43.021957,-112.40810400000001,Firth,ID,76.0,26.0,10.0,Fair
772346,A-772355,3,2019-08-28 17:04:02,2019-08-28 17:33:24,43.173702,-115.748589,Mountain Home,ID,95.0,8.0,10.0,Fair
777346,A-777355,3,2019-08-30 12:18:30,2019-08-30 12:48:12,42.799355,-112.266327,Pocatello,ID,81.0,29.0,10.0,Fair
806749,A-806758,2,2019-07-17 15:27:25,2019-07-17 16:27:09,43.026241,-115.786423,Mountain Home,ID,89.0,20.0,10.0,Fair
806929,A-806938,2,2019-07-17 06:07:00,2019-07-17 06:36:38,47.903702,-116.70833600000002,Athol,ID,61.0,75.0,10.0,Cloudy
819643,A-819652,2,2019-07-24 06:44:48,2019-07-24 07:14:38,47.688179,-116.78215,Coeur D Alene,ID,58.0,75.0,10.0,Partly Cloudy
848439,A-848448,2,2019-08-09 13:31:29,2019-08-09 14:01:16,46.357620000000004,-116.767723,Culdesac,ID,84.0,44.0,10.0,Mostly Cloudy
915822,A-915831,2,2019-05-31 16:44:40,2019-05-31 17:29:22,45.677349,-116.30918899999999,White Bird,ID,70.0,56.0,10.0,Partly Cloudy
917472,A-917481,2,2019-05-04 12:39:42,2019-05-04 13:41:05,43.661190000000005,-116.63060800000001,Caldwell,ID,67.0,31.0,10.0,Fair
1117372,A-1117386,3,2019-02-13 15:11:25,2019-02-13 15:40:52,43.679768,-116.688759,Caldwell,ID,37.9,93.0,10.0,Light Rain
1133764,A-1133778,3,2019-02-21 04:01:09,2019-02-21 04:30:51,43.924782,-112.21204399999999,Hamer,ID,5.0,84.0,10.0,Clear
1149761,A-1149775,3,2019-01-03 01:51:40,2019-01-03 02:23:00,43.021622,-112.408119,Firth,ID,1.9,83.0,9.0,Clear
1161192,A-1161206,2,2019-01-09 05:15:17,2019-01-09 05:44:57,47.744476,-116.791977,Hayden,ID,30.2,100.0,9.0,Light Snow
1172232,A-1172246,2,2019-01-15 07:58:12,2019-01-15 08:30:00,47.175911,-116.49533100000001,Saint Maries,ID,21.0,81.0,10.0,Clear
1172233,A-1172247,3,2019-01-15 09:20:24,2019-01-15 09:52:00,43.598971999999996,-116.553192,Nampa,ID,28.4,100.0,1.0,Mostly Cloudy
1203865,A-1203879,3,2019-01-30 09:31:13,2019-01-30 10:03:00,43.599464000000005,-116.50119,Nampa,ID,26.6,100.0,10.0,Clear
1203866,A-1203880,2,2019-01-30 09:30:44,2019-01-30 10:02:00,43.66135,-116.659241,Caldwell,ID,30.0,75.0,10.0,Clear
