,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
167968,A-167970,3,2016-12-12 18:33:39,2016-12-12 19:33:39,41.573952,-87.508942,Hammond,IN,14.7,93.0,10.0,Clear
169508,A-169510,3,2017-01-12 17:47:21,2017-01-12 18:47:21,41.573952,-87.508942,Hammond,IN,24.6,93.0,10.0,Scattered Clouds
169625,A-169627,2,2017-01-16 07:50:35,2017-01-16 08:50:04,41.561283,-87.508972,Munster,IN,32.0,100.0,1.2,Overcast
169985,A-169987,3,2017-01-23 15:29:34,2017-01-23 15:58:37,41.573952,-87.508942,Hammond,IN,40.3,88.0,10.0,Overcast
170036,A-170038,2,2017-01-24 13:31:43,2017-01-24 14:01:17,38.477581,-87.566109,Hazleton,IN,42.1,70.0,10.0,Overcast
172705,A-172707,3,2016-09-13 07:22:22,2016-09-13 07:52:22,41.639282,-87.506111,Hammond,IN,59.4,97.0,10.0,Clear
173009,A-173011,3,2016-09-19 11:32:20,2016-09-19 12:02:20,41.573952,-87.508942,Hammond,IN,79.7,55.0,10.0,Clear
173309,A-173311,3,2016-09-22 22:24:33,2016-09-22 23:09:12,41.573952,-87.508942,Hammond,IN,72.3,87.0,10.0,Scattered Clouds
173462,A-173464,3,2016-09-27 09:19:40,2016-09-27 09:47:19,41.574172999999995,-87.509171,Hammond,IN,59.4,60.0,10.0,Clear
173526,A-173528,3,2016-09-28 10:40:57,2016-09-28 11:08:43,41.573952,-87.508942,Hammond,IN,54.5,88.0,10.0,Overcast
173982,A-173984,3,2016-10-05 16:38:42,2016-10-05 17:08:21,41.573952,-87.508942,Hammond,IN,79.5,53.0,10.0,Scattered Clouds
174773,A-174775,3,2016-10-19 21:40:41,2016-10-19 22:25:10,41.573952,-87.508942,Hammond,IN,58.8,86.0,10.0,Overcast
175038,A-175040,3,2016-08-06 14:08:50,2016-08-06 15:08:50,41.573952,-87.508942,Hammond,IN,79.7,56.0,10.0,Scattered Clouds
175253,A-175255,3,2016-08-10 18:38:33,2016-08-10 19:23:33,41.573952,-87.508942,Hammond,IN,86.4,52.0,10.0,Clear
175254,A-175256,3,2016-08-10 19:02:41,2016-08-10 19:47:41,41.573952,-87.508942,Hammond,IN,85.6,53.0,10.0,Clear
176132,A-176134,3,2016-08-25 14:05:18,2016-08-25 14:35:18,41.573952,-87.508942,Hammond,IN,80.6,76.0,10.0,Scattered Clouds
176356,A-176358,3,2016-08-29 22:04:55,2016-08-29 22:49:55,41.573952,-87.508942,Hammond,IN,75.4,95.0,10.0,Clear
176744,A-176746,3,2016-09-06 14:23:20,2016-09-06 15:23:20,41.573952,-87.508942,Hammond,IN,89.8,65.0,10.0,Scattered Clouds
177896,A-177898,3,2016-07-10 17:15:58,2016-07-10 17:45:58,41.574001,-87.511772,Hammond,IN,79.7,50.0,10.0,Clear
178205,A-178207,3,2016-07-15 17:16:23,2016-07-15 18:16:23,41.573952,-87.508942,Hammond,IN,69.1,75.0,10.0,Overcast
178805,A-178807,3,2016-07-29 19:09:41,2016-07-29 19:54:41,41.639282,-87.506111,Hammond,IN,70.9,86.0,10.0,Clear
