,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
513098,A-513104,3,2019-12-26 04:32:10,2019-12-26 06:37:53,39.098896,-94.608307,Kansas City,KS,48.0,77.0,10.0,Fair
514426,A-514432,3,2019-12-27 18:05:36,2019-12-27 20:07:06,39.023293,-94.691376,Shawnee,KS,40.0,73.0,9.0,Cloudy
515587,A-515593,3,2019-12-28 07:29:26,2019-12-28 08:51:25,39.044478999999995,-94.65612,Kansas City,KS,47.0,93.0,7.0,Cloudy
515588,A-515594,3,2019-12-28 12:52:30,2019-12-28 14:24:14,39.073589,-94.680931,Kansas City,KS,57.0,89.0,2.0,Rain
515589,A-515595,3,2019-12-28 13:00:02,2019-12-28 14:34:55,38.935131,-94.70506999999999,Overland Park,KS,56.0,100.0,7.0,Light Rain
515590,A-515596,3,2019-12-28 13:06:16,2019-12-28 14:22:29,38.937591999999995,-94.749107,Lenexa,KS,56.0,100.0,7.0,Light Rain
515591,A-515597,2,2019-12-28 13:52:21,2019-12-28 17:46:48,38.8573,-94.813927,Olathe,KS,57.0,93.0,5.0,Light Rain
515597,A-515603,3,2019-12-28 16:57:09,2019-12-28 17:26:00,39.109035,-94.812096,Kansas City,KS,56.0,90.0,2.0,Heavy Rain / Windy
515600,A-515606,3,2019-12-28 18:39:06,2019-12-28 19:08:05,39.053219,-94.67926,Kansas City,KS,53.0,96.0,6.0,Rain
517725,A-517731,2,2019-12-30 05:11:52,2019-12-30 05:56:58,38.941353,-94.761848,Lenexa,KS,32.0,75.0,10.0,Cloudy
517727,A-517733,3,2019-12-30 06:37:51,2019-12-30 07:07:33,38.844437,-94.8321,Olathe city,KS,32.0,66.0,10.0,Cloudy / Windy
517728,A-517734,2,2019-12-30 09:53:20,2019-12-30 10:23:02,38.932109999999994,-94.644501,Leawood,KS,31.0,76.0,10.0,Cloudy
517729,A-517735,3,2019-12-30 11:18:22,2019-12-30 12:39:09,38.932109999999994,-94.644501,Leawood,KS,31.0,76.0,10.0,Cloudy
519366,A-519372,3,2019-12-31 05:01:38,2019-12-31 06:05:36,39.012046999999995,-94.785744,Shawnee,KS,30.0,64.0,10.0,Fair
519369,A-519375,3,2019-12-31 07:35:31,2019-12-31 08:50:10,38.956387,-94.733025,Lenexa,KS,28.0,72.0,10.0,Fair
519370,A-519376,3,2019-12-31 09:29:59,2019-12-31 10:52:00,39.064484,-94.792938,Kansas City,KS,35.0,54.0,10.0,Fair
522550,A-522556,2,2019-12-02 10:39:30,2019-12-02 11:39:08,38.96817,-94.776199,Lenexa,KS,32.0,66.0,10.0,Fair
525255,A-525261,2,2019-12-03 07:00:26,2019-12-03 08:15:02,39.051327,-94.679283,Kansas City,KS,33.0,64.0,10.0,Fair
525262,A-525268,2,2019-12-03 07:44:40,2019-12-03 09:01:29,39.007374,-94.694038,Shawnee,KS,33.0,64.0,10.0,Fair
525267,A-525273,2,2019-12-03 16:30:37,2019-12-03 17:00:28,38.799351,-94.93328100000001,Gardner,KS,50.0,48.0,10.0,Fair
525269,A-525275,2,2019-12-03 18:45:03,2019-12-03 20:00:41,38.912655,-94.771362,Olathe,KS,44.0,55.0,10.0,Fair
525330,A-525336,2,2019-12-03 07:56:14,2019-12-03 09:14:25,37.673233,-97.398163,Wichita,KS,29.0,75.0,10.0,Mostly Cloudy
