,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
227191,A-227193,2,2016-03-27 22:08:08,2016-03-27 23:23:08,38.766727,-84.188011,Foster,KY,67.3,66.0,10.0,Overcast
227876,A-227878,2,2016-05-10 14:14:18,2016-05-10 14:59:18,38.502827,-82.77507,Greenup,KY,75.0,51.0,10.0,Overcast
227899,A-227901,1,2016-05-11 08:02:17,2016-05-11 09:32:17,38.534069,-82.834595,Greenup,KY,61.0,93.0,10.0,Clear
376734,A-376738,2,2017-02-22 17:34:13,2017-02-22 18:03:45,38.453114,-82.673744,Ashland,KY,59.0,83.0,6.0,Haze
377042,A-377046,2,2017-03-05 10:18:08,2017-03-05 10:47:23,38.708523,-83.028114,South Portsmouth,KY,39.0,53.0,10.0,Clear
512330,A-512336,3,2019-12-25 05:24:52,2019-12-25 06:24:08,38.207157,-85.75014499999999,Louisville,KY,36.0,86.0,9.0,Fair
512331,A-512337,3,2019-12-25 08:43:27,2019-12-25 11:21:59,38.254166,-85.80587,Louisville,KY,36.0,86.0,10.0,Mostly Cloudy
512332,A-512338,3,2019-12-25 08:43:27,2019-12-25 10:19:31,38.254166,-85.80587,Louisville,KY,36.0,86.0,10.0,Mostly Cloudy
512333,A-512339,2,2019-12-25 12:09:59,2019-12-25 13:31:35,38.195477000000004,-85.707596,Louisville,KY,56.0,60.0,10.0,Cloudy
512335,A-512341,3,2019-12-25 20:17:56,2019-12-25 21:38:52,38.333099,-85.63195,Prospect,KY,55.0,77.0,10.0,Fair
512336,A-512342,3,2019-12-25 11:29:59,2019-12-25 12:14:36,39.02319,-84.519188,Latonia,KY,47.0,74.0,10.0,Fair
512821,A-512827,2,2019-12-26 01:35:11,2019-12-26 02:22:16,38.178429,-85.72075699999999,Louisville,KY,49.0,90.0,10.0,Fair
512822,A-512828,2,2019-12-26 04:16:43,2019-12-26 04:46:19,38.274689,-85.810349,Louisville,KY,52.0,83.0,10.0,Fair
512824,A-512830,2,2019-12-26 07:47:08,2019-12-26 08:47:27,38.115128000000006,-85.701584,Louisville,KY,52.0,86.0,10.0,Cloudy
512825,A-512831,3,2019-12-26 08:54:36,2019-12-26 09:56:36,38.190731,-85.721062,Louisville,KY,54.0,80.0,10.0,Cloudy
512826,A-512832,2,2019-12-26 08:59:18,2019-12-26 09:59:15,38.270996000000004,-85.80836500000001,Louisville,KY,54.0,80.0,10.0,Cloudy
512827,A-512833,3,2019-12-26 09:46:37,2019-12-26 11:19:21,38.113186,-85.69998199999999,Louisville,KY,56.0,75.0,10.0,Mostly Cloudy
512831,A-512837,3,2019-12-26 13:55:10,2019-12-26 14:24:48,38.190407,-85.729828,Louisville,KY,65.0,58.0,10.0,Cloudy
512832,A-512838,3,2019-12-26 16:54:48,2019-12-26 17:24:30,38.205757,-85.827568,Louisville,KY,63.0,60.0,10.0,Cloudy
512834,A-512840,2,2019-12-26 11:32:01,2019-12-26 13:01:36,38.937119,-84.571701,Independence,KY,58.0,70.0,10.0,Mostly Cloudy
512836,A-512842,3,2019-12-26 12:29:55,2019-12-26 15:00:40,39.08728,-84.522751,Covington,KY,57.0,69.0,10.0,Mostly Cloudy
513804,A-513810,3,2019-12-27 06:48:37,2019-12-27 08:06:20,38.115128000000006,-85.701584,Louisville,KY,59.0,67.0,10.0,Cloudy
513806,A-513812,3,2019-12-27 09:21:52,2019-12-27 10:22:00,38.186577,-85.827309,Louisville,KY,59.0,69.0,10.0,Cloudy
513807,A-513813,3,2019-12-27 09:25:32,2019-12-27 10:24:54,38.185188000000004,-85.811691,Louisville,KY,59.0,69.0,10.0,Cloudy
513808,A-513814,3,2019-12-27 10:34:34,2019-12-27 12:54:04,38.188995,-85.73320799999999,Louisville,KY,61.0,72.0,10.0,Cloudy
513823,A-513829,2,2019-12-27 07:08:11,2019-12-27 08:25:10,37.995644,-84.466125,Lexington,KY,58.0,72.0,10.0,Cloudy
513824,A-513830,2,2019-12-27 07:16:18,2019-12-27 08:01:17,38.079102,-84.493149,Lexington,KY,58.0,72.0,10.0,Cloudy
513827,A-513833,2,2019-12-27 08:33:41,2019-12-27 09:18:42,38.028488,-84.583748,Lexington,KY,57.0,81.0,10.0,Cloudy
515320,A-515326,3,2019-12-28 20:56:24,2019-12-28 21:25:23,38.274689,-85.810349,Louisville,KY,61.0,75.0,10.0,Cloudy
515323,A-515329,3,2019-12-28 18:29:19,2019-12-28 20:37:23,39.08728,-84.522751,Covington,KY,55.0,93.0,10.0,Cloudy
516131,A-516137,3,2019-12-29 10:43:49,2019-12-29 11:59:53,38.223671,-85.53922299999999,Louisville,KY,64.0,87.0,5.0,Rain
516134,A-516140,3,2019-12-29 12:59:59,2019-12-29 14:00:10,38.178429,-85.72075699999999,Louisville,KY,62.0,84.0,4.0,Rain
516135,A-516141,3,2019-12-29 13:10:15,2019-12-29 13:55:04,38.258007,-85.765343,Louisville,KY,61.0,90.0,2.0,Rain
516136,A-516142,3,2019-12-29 13:11:11,2019-12-29 14:10:58,38.15958,-85.71946,Louisville,KY,62.0,84.0,4.0,Rain
516137,A-516143,3,2019-12-29 13:55:06,2019-12-29 15:10:55,38.270866,-85.782639,Louisville,KY,62.0,84.0,10.0,Light Rain
516138,A-516144,3,2019-12-29 14:04:14,2019-12-29 14:48:45,38.1912,-85.72995,Louisville,KY,62.0,84.0,10.0,Light Rain
516140,A-516146,3,2019-12-29 16:15:50,2019-12-29 17:25:06,38.270866,-85.782639,Louisville,KY,61.0,87.0,10.0,Light Rain
516141,A-516147,3,2019-12-29 19:40:10,2019-12-29 20:26:23,38.178429,-85.72075699999999,Louisville,KY,57.0,89.0,5.0,Rain
516142,A-516148,3,2019-12-29 19:53:31,2019-12-29 20:59:28,38.18541,-85.724121,Louisville,KY,57.0,89.0,5.0,Rain
516143,A-516149,3,2019-12-29 20:01:45,2019-12-29 21:41:05,38.190605,-85.729431,Louisville,KY,57.0,89.0,5.0,Rain
