,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
194262,A-194264,2,2016-11-30 15:37:19,2016-11-30 17:08:21,42.144863,-72.599976,Chicopee,MA,48.2,100.0,3.0,Light Rain
194266,A-194268,2,2016-11-30 16:14:24,2016-11-30 17:28:48,42.304435999999995,-71.325317,Wellesley,MA,48.0,89.0,5.0,Rain
194267,A-194269,3,2016-11-30 16:02:41,2016-11-30 17:25:00,42.428036,-71.258476,Lexington,MA,46.9,86.0,5.0,Rain
194268,A-194270,4,2016-11-30 14:12:49,2016-11-30 17:25:00,42.49593,-71.17823800000001,Burlington,MA,46.0,89.0,3.0,Light Rain
194269,A-194271,3,2016-11-30 16:00:47,2016-11-30 17:15:31,42.525875,-70.972115,Peabody,MA,46.0,100.0,6.0,Light Rain
194275,A-194277,3,2016-11-30 17:03:52,2016-11-30 18:15:00,42.401234,-71.095268,Medford,MA,46.9,97.0,5.0,Rain
194284,A-194286,2,2016-11-30 17:33:47,2016-11-30 18:45:00,42.619003,-71.125229,Andover,MA,45.0,97.0,7.0,Light Rain
194286,A-194288,3,2016-11-30 17:57:43,2016-11-30 19:12:25,42.298656,-71.047501,Dorchester,MA,46.9,97.0,6.0,Rain
194290,A-194292,2,2016-11-30 18:34:30,2016-11-30 19:55:00,42.77047,-71.07543199999999,Haverhill,MA,46.0,96.0,8.0,Light Rain
194291,A-194293,2,2016-11-30 18:43:32,2016-11-30 19:58:10,42.591263,-71.206284,Tewksbury,MA,46.0,96.0,8.0,Light Rain
194292,A-194294,3,2016-11-30 18:46:15,2016-11-30 20:15:00,42.431622,-71.10279799999999,Medford,MA,46.9,100.0,5.0,Rain
194302,A-194304,2,2016-11-30 19:05:51,2016-11-30 20:05:51,42.160694,-71.28981800000001,Medfield,MA,48.0,89.0,10.0,Overcast
194304,A-194306,2,2016-11-30 19:18:34,2016-11-30 20:32:52,42.317108000000005,-71.22578399999999,Waban,MA,48.0,89.0,10.0,Overcast
194305,A-194307,2,2016-11-30 19:18:34,2016-11-30 20:32:52,42.317108000000005,-71.22578399999999,Waban,MA,48.0,89.0,10.0,Overcast
194316,A-194318,3,2016-11-30 21:23:02,2016-11-30 21:52:48,42.607234999999996,-71.325478,Chelmsford,MA,46.9,90.0,4.0,Rain
194331,A-194333,2,2016-12-01 05:19:55,2016-12-01 05:49:37,42.203072,-71.119202,Canton,MA,51.1,92.0,4.0,Light Rain
194332,A-194334,2,2016-12-01 05:13:34,2016-12-01 05:43:02,42.335854,-71.10749799999999,Boston,MA,51.1,100.0,3.0,Light Rain
194338,A-194340,3,2016-12-01 06:15:12,2016-12-01 06:44:56,42.330719,-71.060905,Boston,MA,51.1,100.0,3.0,Overcast
194341,A-194343,2,2016-12-01 06:31:23,2016-12-01 07:01:04,42.418488,-71.04540300000001,Everett,MA,48.9,97.0,10.0,Overcast
194342,A-194344,2,2016-12-01 06:41:11,2016-12-01 07:10:50,42.403065000000005,-71.053764,Everett,MA,48.9,97.0,10.0,Overcast
194343,A-194345,2,2016-12-01 06:37:22,2016-12-01 07:07:07,42.539947999999995,-70.938019,Peabody,MA,50.0,100.0,6.0,Overcast
