,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
228551,A-228553,2,2016-11-30 11:58:01,2016-11-30 16:57:20,39.152046,-76.645584,Severn,MD,57.9,100.0,0.5,Fog
228552,A-228554,3,2016-11-30 12:04:03,2016-11-30 17:02:36,39.152046,-76.645584,Severn,MD,57.9,100.0,0.5,Fog
228565,A-228567,2,2016-11-30 16:54:53,2016-11-30 17:24:12,39.481083,-76.249626,Belcamp,MD,59.0,100.0,0.6,Light Rain
228572,A-228574,2,2016-11-30 17:33:47,2016-11-30 18:01:49,39.158756,-76.718475,Hanover,MD,61.0,100.0,3.0,Mostly Cloudy
228578,A-228580,2,2016-11-30 17:35:33,2016-11-30 18:05:10,39.636390999999996,-77.71045699999999,Hagerstown,MD,54.0,97.0,0.8,Light Rain
228628,A-228630,3,2016-11-30 21:37:26,2016-11-30 22:07:18,39.031303,-77.130486,Rockville,MD,57.2,88.0,10.0,Overcast
228630,A-228632,3,2016-11-30 22:11:30,2016-11-30 22:55:37,38.959663,-76.866058,Hyattsville,MD,57.2,94.0,7.0,Overcast
228647,A-228649,2,2016-12-01 06:02:12,2016-12-01 06:46:50,39.381805,-77.40972099999999,Frederick,MD,48.2,66.0,10.0,Clear
228648,A-228650,2,2016-12-01 05:59:13,2016-12-01 06:43:45,39.286144,-77.27179,Clarksburg,MD,46.4,66.0,10.0,Partly Cloudy
228650,A-228652,3,2016-12-01 06:13:13,2016-12-01 06:58:02,39.197132,-76.76634200000001,Elkridge,MD,50.0,74.0,10.0,Partly Cloudy
228657,A-228659,2,2016-12-01 06:35:00,2016-12-01 07:19:21,38.919521,-76.933144,Hyattsville,MD,51.8,58.0,10.0,Clear
228658,A-228660,2,2016-12-01 06:33:13,2016-12-01 07:17:34,38.935223,-76.917007,Hyattsville,MD,51.8,58.0,10.0,Clear
228665,A-228667,3,2016-12-01 06:46:53,2016-12-01 07:31:40,39.632416,-76.67182199999999,Parkton,MD,46.4,66.0,10.0,Scattered Clouds
228679,A-228681,3,2016-12-01 07:22:25,2016-12-01 08:07:02,39.178185,-76.78875,Elkridge,MD,48.0,74.0,10.0,Partly Cloudy
228680,A-228682,2,2016-12-01 07:26:57,2016-12-01 08:11:37,39.522217,-76.171112,Aberdeen,MD,48.7,71.0,10.0,Partly Cloudy
228683,A-228685,2,2016-12-01 07:36:46,2016-12-01 08:21:22,39.19828,-77.24501,Germantown,MD,46.4,62.0,10.0,Clear
228684,A-228686,2,2016-12-01 07:34:02,2016-12-01 08:18:21,39.051353000000006,-77.074844,Silver Spring,MD,50.0,58.0,10.0,Clear
228686,A-228688,3,2016-12-01 07:32:59,2016-12-01 08:17:40,39.099647999999995,-76.890022,Laurel,MD,41.0,93.0,4.0,Clear
228688,A-228690,2,2016-12-01 07:35:54,2016-12-01 08:20:37,39.524509,-76.28652199999999,Bel Air,MD,49.8,68.0,8.0,Clear
228723,A-228725,2,2016-12-01 09:01:42,2016-12-01 09:50:00,39.047318,-76.91658000000001,Beltsville,MD,50.0,54.0,10.0,Clear
228726,A-228728,3,2016-12-01 09:06:40,2016-12-01 09:51:09,39.349953,-76.496826,Baltimore,MD,53.6,67.0,10.0,Clear
228738,A-228740,3,2016-12-01 09:38:12,2016-12-01 10:22:40,39.050713,-76.93085500000001,Beltsville,MD,51.8,47.0,10.0,Clear
228739,A-228741,2,2016-12-01 09:34:11,2016-12-01 10:18:25,38.9305,-76.89765200000001,Hyattsville,MD,51.8,47.0,10.0,Clear
228745,A-228747,2,2016-12-01 10:14:57,2016-12-01 10:59:30,38.917934,-76.915504,Hyattsville,MD,51.8,47.0,10.0,Clear
228773,A-228775,2,2016-12-01 14:01:51,2016-12-01 14:46:51,39.026740999999994,-76.855232,Beltsville,MD,53.6,44.0,10.0,Overcast
