,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
513545,A-513551,4,2019-12-27 05:31:16,2019-12-27 10:10:23,43.732162,-70.299225,Falmouth,ME,31.0,76.0,10.0,Light Freezing Rain
516720,A-516726,3,2019-12-30 11:28:03,2019-12-30 11:57:40,43.673512,-70.256393,Portland,ME,27.0,72.0,1.0,Snow and Sleet
559380,A-559388,4,2019-12-19 10:17:43,2019-12-19 11:46:53,43.917049,-70.021591,Brunswick,ME,13.0,47.0,10.0,Fair
636981,A-636990,4,2019-11-07 06:13:02,2019-11-07 07:27:39,43.664562,-70.330826,Portland,ME,39.0,53.0,10.0,Cloudy
643473,A-643482,3,2019-11-10 14:55:39,2019-11-10 15:24:10,43.630638,-70.343262,South Portland,ME,47.0,34.0,10.0,Mostly Cloudy
696848,A-696857,2,2019-10-04 14:12:10,2019-10-04 14:41:58,46.125477000000004,-67.841858,Houlton,ME,43.0,74.0,10.0,Light Rain
743471,A-743480,3,2019-09-13 16:37:55,2019-09-13 17:07:23,43.604538,-70.369652,Scarborough,ME,61.0,41.0,10.0,Partly Cloudy
777852,A-777861,2,2019-07-01 13:06:51,2019-07-01 13:51:59,44.356235999999996,-69.78250899999999,Augusta,ME,77.0,50.0,10.0,Fair
811914,A-811923,2,2019-07-20 11:48:40,2019-07-20 12:18:40,44.086803,-70.237663,Auburn,ME,88.0,59.0,10.0,Fair
844522,A-844531,3,2019-08-09 17:51:46,2019-08-09 18:56:54,43.732189,-70.231277,Falmouth,ME,79.0,45.0,10.0,Partly Cloudy
901548,A-901557,3,2019-06-24 19:14:00,2019-06-24 19:43:34,43.623199,-70.351959,Scarborough,ME,65.0,58.0,10.0,Partly Cloudy
947491,A-947502,2,2019-05-21 07:34:57,2019-05-21 13:15:18,43.089539,-70.757408,Kittery,ME,58.0,53.0,10.0,Mostly Cloudy
947517,A-947528,2,2019-05-21 18:59:23,2019-05-21 19:59:10,43.746761,-70.30375699999999,Falmouth,ME,57.0,45.0,10.0,Mostly Cloudy
1013645,A-1013657,3,2019-04-22 02:07:59,2019-04-22 05:37:33,43.404911,-70.561188,Kennebunk,ME,46.0,100.0,0.5,Light Rain
1074616,A-1074629,2,2019-03-27 08:38:51,2019-03-27 11:29:15,43.666191,-70.248787,Portland,ME,32.0,38.0,10.0,Clear
1074627,A-1074640,2,2019-03-27 17:28:42,2019-03-27 18:28:20,43.742184,-70.21835300000001,Falmouth,ME,36.0,43.0,10.0,Clear
1076940,A-1076953,2,2019-03-28 08:46:13,2019-03-28 10:31:25,43.84024,-70.12355,Freeport,ME,38.0,60.0,10.0,Fair
1095089,A-1095102,3,2019-02-04 14:45:11,2019-02-04 15:14:44,43.388565,-70.571671,Kennebunk,ME,57.0,47.0,10.0,Clear
1095094,A-1095107,3,2019-02-04 17:33:40,2019-02-04 18:18:03,43.807899,-70.166077,Yarmouth,ME,41.0,82.0,10.0,Clear
1117880,A-1117894,3,2019-02-14 10:54:08,2019-02-14 11:23:49,43.673737,-70.256599,Portland,ME,32.0,48.0,10.0,Scattered Clouds
1117884,A-1117898,1,2019-02-14 17:35:38,2019-02-14 18:04:54,43.481289000000004,-70.501442,Biddeford,ME,30.9,52.0,10.0,Clear
1131799,A-1131813,3,2019-02-21 08:37:20,2019-02-21 09:51:55,43.684158000000004,-70.252678,Portland,ME,25.0,92.0,2.0,Light Freezing Drizzle
1186798,A-1186812,3,2019-01-23 17:30:34,2019-01-23 18:29:57,44.101406,-70.08560899999999,Sabattus,ME,32.0,56.0,10.0,Overcast
1281383,A-1281398,3,2018-11-10 08:23:11,2018-11-10 09:06:55,44.571651,-69.640785,Waterville,ME,34.0,100.0,4.0,Overcast
1298997,A-1299013,2,2018-11-19 11:14:18,2018-11-19 11:44:04,44.012344,-70.087997,Lisbon,ME,28.9,89.0,8.0,Overcast
1304695,A-1304711,3,2018-11-21 10:31:38,2018-11-21 11:16:16,44.479984,-69.707153,Augusta,ME,28.0,78.0,10.0,Overcast
1304696,A-1304712,2,2018-11-21 10:51:17,2018-11-21 11:35:58,43.884624,-70.31126400000001,Gray,ME,30.9,76.0,10.0,Overcast
1304827,A-1304843,2,2018-11-21 09:52:59,2018-11-21 11:07:29,44.693756,-68.658363,Dedham,ME,25.0,72.0,10.0,Scattered Clouds
1378471,A-1378487,3,2018-10-26 10:18:44,2018-10-26 10:47:32,43.632053000000006,-70.344162,South Portland,ME,37.9,43.0,10.0,Partly Cloudy
1420676,A-1420692,2,2018-09-16 07:23:44,2018-09-16 07:52:10,44.279987,-70.516212,South Paris,ME,57.0,100.0,9.0,Clear
1460537,A-1460553,3,2018-08-05 11:57:56,2018-08-05 12:26:41,43.20628,-70.642937,Cape Neddick,ME,82.0,67.0,10.0,Mostly Cloudy
1461195,A-1461211,2,2018-08-06 09:44:39,2018-08-06 10:44:39,43.302719,-70.567101,Wells,ME,82.0,69.0,10.0,Clear
1473840,A-1473856,3,2018-08-11 09:42:40,2018-08-11 10:12:10,44.037834000000004,-70.268372,Auburn,ME,72.0,53.0,10.0,Clear
1485298,A-1485314,3,2018-08-17 11:01:50,2018-08-17 12:18:56,43.605145,-70.372498,Scarborough,ME,72.0,61.0,10.0,Partly Cloudy
1501674,A-1501691,3,2018-08-25 11:11:53,2018-08-25 11:43:00,44.508179,-69.70285799999999,Waterville,ME,71.1,81.0,10.0,Clear
1522830,A-1522847,2,2018-07-06 15:36:38,2018-07-06 16:51:38,43.668583,-70.280815,Portland,ME,84.0,55.0,10.0,Mostly Cloudy
1522831,A-1522848,3,2018-07-06 16:00:09,2018-07-06 16:44:50,43.864449,-70.108063,Freeport,ME,81.0,62.0,10.0,Fair
1545081,A-1545098,2,2018-07-19 20:43:30,2018-07-19 21:13:30,43.111038,-70.754356,Kittery,ME,65.7,63.0,10.0,Partly Cloudy
1719683,A-1719706,3,2018-04-15 12:42:30,2018-04-15 13:12:07,43.480152000000004,-70.499725,Biddeford,ME,30.0,69.0,10.0,Overcast
1734544,A-1734567,2,2018-04-22 10:24:36,2018-04-22 10:54:36,43.111584,-70.734673,Kittery,ME,52.5,25.0,10.0,Clear
1766484,A-1766507,4,2018-03-08 21:26:00,2018-03-08 22:10:08,43.527603000000006,-70.45270500000001,Saco,ME,30.9,96.0,10.0,Overcast
1831452,A-1831475,3,2018-02-08 10:12:39,2018-02-08 10:42:03,43.632053000000006,-70.344162,South Portland,ME,21.9,55.0,10.0,Mostly Cloudy
1846522,A-1846545,3,2018-02-15 04:37:09,2018-02-15 05:04:27,46.139236,-67.839745,Houlton,ME,28.0,78.0,10.0,Overcast
1884058,A-1884081,3,2018-01-07 08:32:51,2018-01-07 09:02:22,44.81105,-68.79158000000001,Bangor,ME,-6.0,56.0,10.0,Partly Cloudy
1890518,A-1890541,3,2018-01-10 05:34:33,2018-01-10 06:20:00,44.131245,-69.845917,Richmond,ME,10.0,92.0,10.0,Clear
1916246,A-1916269,3,2018-01-24 10:55:39,2018-01-24 11:26:16,43.628796,-70.318382,South Portland,ME,36.0,64.0,10.0,Mostly Cloudy
1979467,A-1979490,3,2017-12-22 14:13:38,2017-12-22 14:57:59,43.480152000000004,-70.499725,Biddeford,ME,18.0,84.0,0.8,Light Snow
1983557,A-1983580,3,2017-12-26 15:54:03,2017-12-26 16:54:03,43.87775,-70.085693,Freeport,ME,17.0,81.0,10.0,Partly Cloudy
2037428,A-2037451,3,2017-11-24 06:31:13,2017-11-24 07:00:01,43.731194,-70.231247,Falmouth,ME,28.9,67.0,10.0,Partly Cloudy
2046317,A-2046340,4,2017-11-29 18:34:14,2017-11-29 19:03:21,43.527603000000006,-70.45270500000001,Saco,ME,41.0,60.0,10.0,Clear
2050325,A-2050348,3,2017-10-02 14:08:54,2017-10-02 15:08:13,43.156811,-70.66510799999999,York,ME,66.9,44.0,10.0,Partly Cloudy
2108208,A-2108231,3,2017-10-30 18:30:28,2017-10-30 19:15:08,44.808865000000004,-68.793396,Bangor,ME,54.0,80.0,10.0,Mostly Cloudy
2121745,A-2121768,3,2017-09-06 07:10:56,2017-09-06 07:40:13,43.098549,-70.756187,Kittery,ME,67.1,95.0,7.0,Mostly Cloudy
2193089,A-2193113,3,2017-08-06 13:29:35,2017-08-06 13:59:35,43.877579,-70.085526,Freeport,ME,73.0,41.0,10.0,Fair
2215958,A-2215982,3,2017-08-17 07:41:13,2017-08-17 08:11:13,43.784912,-70.190392,Yarmouth,ME,61.0,60.0,10.0,Mostly Cloudy
2237606,A-2237630,2,2017-08-27 13:08:55,2017-08-27 14:08:55,44.073997,-70.688789,Bridgton,ME,72.0,37.0,10.0,Mostly Cloudy
2279164,A-2279188,2,2016-12-01 12:08:51,2016-12-01 18:08:51,45.638147,-68.499932,Medway,ME,33.1,92.0,2.0,Light Rain
2279180,A-2279204,2,2016-12-01 13:19:07,2016-12-01 19:19:07,45.638147,-68.499932,Medway,ME,33.1,96.0,8.0,Overcast
2279686,A-2279710,4,2016-12-02 15:24:53,2016-12-02 21:24:53,46.496365999999995,-67.86849000000001,Blaine,ME,33.8,87.0,9.0,Light Rain
2279690,A-2279714,4,2016-12-02 15:24:53,2016-12-02 21:24:53,46.480776,-67.86838,Westfield,ME,33.8,87.0,9.0,Light Rain
2280237,A-2280261,2,2016-12-05 11:25:27,2016-12-05 17:25:27,43.88342,-70.3362,Gray,ME,26.6,86.0,1.0,Light Snow
