,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
167304,A-167306,3,2016-11-30 17:32:12,2016-11-30 18:02:12,38.649963,-90.448578,Saint Louis,MO,42.1,55.0,10.0,Overcast
167314,A-167316,3,2016-11-30 19:22:10,2016-11-30 19:51:49,38.705096999999995,-90.339996,Saint Louis,MO,42.1,55.0,10.0,Overcast
167327,A-167329,3,2016-12-01 07:16:10,2016-12-01 07:45:24,38.581558,-90.448074,Saint Louis,MO,33.1,66.0,10.0,Clear
167343,A-167345,3,2016-12-01 09:13:43,2016-12-01 09:43:07,38.770924,-90.266983,Saint Louis,MO,37.9,60.0,10.0,Mostly Cloudy
167355,A-167357,3,2016-12-01 11:00:36,2016-12-01 11:30:17,38.770027,-90.406715,Bridgeton,MO,39.9,58.0,10.0,Mostly Cloudy
167383,A-167385,3,2016-12-01 18:07:54,2016-12-01 18:37:54,38.596626,-90.216034,Saint Louis,MO,39.9,58.0,10.0,Clear
167390,A-167392,2,2016-12-01 19:34:49,2016-12-01 20:04:07,38.737946,-90.633255,Saint Charles,MO,30.0,88.0,10.0,Clear
167397,A-167399,3,2016-12-02 05:04:15,2016-12-02 05:48:45,38.630001,-90.36232,Saint Louis,MO,30.0,79.0,10.0,Partly Cloudy
167403,A-167405,3,2016-12-02 07:50:27,2016-12-02 08:19:50,38.610386,-90.210831,Saint Louis,MO,28.9,85.0,10.0,Clear
167404,A-167406,3,2016-12-02 08:04:00,2016-12-02 08:33:29,38.548611,-90.42716999999999,Saint Louis,MO,32.0,79.0,10.0,Partly Cloudy
167407,A-167409,2,2016-12-02 08:48:30,2016-12-02 09:33:15,38.596725,-90.473892,Saint Louis,MO,37.9,68.0,10.0,Partly Cloudy
167408,A-167410,3,2016-12-02 08:50:54,2016-12-02 09:50:38,38.743683000000004,-90.395531,Bridgeton,MO,37.9,68.0,10.0,Partly Cloudy
167409,A-167411,3,2016-12-02 08:53:29,2016-12-02 09:38:12,38.749611,-90.338348,Saint Louis,MO,37.9,68.0,10.0,Partly Cloudy
167410,A-167412,2,2016-12-02 09:00:07,2016-12-02 09:59:49,38.673035,-90.204185,Saint Louis,MO,37.9,68.0,10.0,Partly Cloudy
167437,A-167439,3,2016-12-02 17:06:36,2016-12-02 17:36:20,38.686436,-90.354271,Saint Louis,MO,44.1,53.0,10.0,Partly Cloudy
167443,A-167445,2,2016-12-02 17:55:21,2016-12-02 18:24:28,38.861855,-90.22377,West Alton,MO,37.4,75.0,10.0,Partly Cloudy
167457,A-167459,2,2016-12-02 21:22:47,2016-12-02 21:52:21,38.723907000000004,-90.65979,Saint Charles,MO,30.9,89.0,10.0,Clear
167458,A-167460,3,2016-12-02 22:51:33,2016-12-02 23:21:08,38.753883,-90.45440699999999,Maryland Heights,MO,35.1,72.0,10.0,Partly Cloudy
167460,A-167462,3,2016-12-03 07:08:49,2016-12-03 07:38:20,38.614002,-90.197304,Saint Louis,MO,28.9,89.0,9.0,Clear
167466,A-167468,3,2016-12-03 18:05:24,2016-12-03 18:35:01,38.710907,-90.285759,Saint Louis,MO,42.1,65.0,10.0,Overcast
167471,A-167473,3,2016-12-04 08:49:34,2016-12-04 09:34:13,38.767078000000005,-90.182312,Saint Louis,MO,37.9,86.0,2.5,Light Rain
167474,A-167476,3,2016-12-04 17:39:00,2016-12-04 18:08:38,38.56266,-90.439293,Saint Louis,MO,39.9,79.0,10.0,Overcast
167492,A-167494,3,2016-12-05 07:52:00,2016-12-05 08:21:15,38.60376,-90.450554,Saint Louis,MO,37.9,83.0,7.0,Mostly Cloudy
167495,A-167497,3,2016-12-05 08:29:40,2016-12-05 08:59:08,38.778313,-90.359932,Hazelwood,MO,39.0,82.0,8.0,Overcast
167496,A-167498,3,2016-12-05 08:33:51,2016-12-05 09:03:51,38.591576,-90.21444699999999,Saint Louis,MO,39.9,83.0,10.0,Overcast
167517,A-167519,3,2016-12-05 10:56:25,2016-12-05 11:26:03,38.551987,-90.280182,Saint Louis,MO,41.0,79.0,10.0,Mostly Cloudy
167556,A-167558,3,2016-12-05 18:40:21,2016-12-05 19:10:05,38.655407000000004,-90.448257,Saint Louis,MO,39.9,79.0,10.0,Mostly Cloudy
167574,A-167576,3,2016-12-06 08:47:08,2016-12-06 09:31:45,38.60994,-90.209175,Saint Louis,MO,39.9,83.0,9.0,Overcast
167583,A-167585,3,2016-12-06 09:34:42,2016-12-06 10:20:00,38.41555,-90.388817,Arnold,MO,39.9,79.0,10.0,Overcast
167584,A-167586,3,2016-12-06 09:29:26,2016-12-06 10:14:07,38.629108,-90.319801,Saint Louis,MO,41.0,76.0,9.0,Overcast
167601,A-167603,3,2016-12-06 11:45:39,2016-12-06 12:30:18,38.777859,-90.389488,Hazelwood,MO,41.0,73.0,9.0,Overcast
167602,A-167604,3,2016-12-06 11:50:32,2016-12-06 12:35:15,38.660851,-90.35764300000001,Saint Louis,MO,41.0,73.0,9.0,Overcast
167606,A-167608,3,2016-12-06 13:43:04,2016-12-06 14:12:43,38.749611,-90.338348,Saint Louis,MO,42.1,73.0,9.0,Overcast
167627,A-167629,3,2016-12-06 19:20:07,2016-12-06 19:49:52,38.714451000000004,-90.447556,Maryland Heights,MO,37.9,57.0,10.0,Scattered Clouds
167635,A-167637,2,2016-12-06 21:59:18,2016-12-06 22:28:53,38.77063,-90.238884,Saint Louis,MO,35.1,57.0,10.0,Mostly Cloudy
167641,A-167643,3,2016-12-07 07:47:41,2016-12-07 08:32:03,38.442059,-90.379898,Arnold,MO,32.0,59.0,10.0,Overcast
167642,A-167644,3,2016-12-07 07:46:39,2016-12-07 08:31:20,38.46172,-90.374016,Saint Louis,MO,32.0,59.0,10.0,Overcast
