,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
513202,A-513208,3,2019-12-26 19:57:54,2019-12-26 20:27:36,31.61293,-89.20683299999999,Ellisville,MS,66.0,84.0,10.0,Cloudy
514686,A-514692,3,2019-12-27 09:43:34,2019-12-27 11:34:04,32.274215999999996,-90.164146,Pearl,MS,62.0,86.0,2.0,Rain
514762,A-514768,3,2019-12-27 08:30:14,2019-12-27 10:11:00,31.296941999999998,-89.35276800000001,Hattiesburg,MS,62.0,90.0,10.0,Light Rain
519650,A-519656,2,2019-12-31 16:52:34,2019-12-31 17:22:24,34.962685,-90.060707,Horn Lake,MS,47.0,46.0,10.0,Fair
519713,A-519719,2,2019-12-31 10:55:18,2019-12-31 11:54:47,31.32457,-89.356201,Hattiesburg,MS,53.0,41.0,10.0,Fair
522949,A-522955,3,2019-12-02 07:58:46,2019-12-02 09:28:32,32.300579,-90.280304,Jackson,MS,40.0,65.0,10.0,Fair
523051,A-523057,2,2019-12-02 07:25:31,2019-12-02 08:40:00,34.362049,-89.56551400000001,Oxford,MS,37.0,60.0,10.0,Cloudy
523052,A-523058,2,2019-12-02 07:45:01,2019-12-02 08:44:50,34.298409,-89.520081,Oxford,MS,37.0,60.0,10.0,Cloudy
523053,A-523059,2,2019-12-02 07:49:46,2019-12-02 08:19:31,31.324704999999998,-89.328987,Hattiesburg,MS,43.0,58.0,10.0,Fair
523054,A-523060,2,2019-12-02 07:59:21,2019-12-02 08:28:56,30.43849,-88.833572,Ocean Springs,MS,45.0,57.0,10.0,Fair
523056,A-523062,2,2019-12-02 08:30:32,2019-12-02 08:59:04,31.32457,-89.356201,Hattiesburg,MS,45.0,52.0,10.0,Fair
525569,A-525575,3,2019-12-03 08:05:52,2019-12-03 09:07:37,32.297539,-90.274963,Jackson,MS,33.0,85.0,9.0,Fair
525570,A-525576,2,2019-12-03 08:05:13,2019-12-03 09:22:24,32.337601,-90.09343,Flowood,MS,32.0,88.0,10.0,Partly Cloudy
525576,A-525582,2,2019-12-03 14:20:42,2019-12-03 15:22:09,32.267796000000004,-90.210228,Jackson,MS,57.0,33.0,10.0,Fair
525578,A-525584,3,2019-12-03 16:15:41,2019-12-03 17:22:00,34.962765000000005,-89.999245,Southaven,MS,50.0,59.0,10.0,Mostly Cloudy
525686,A-525692,2,2019-12-03 07:42:43,2019-12-03 08:12:23,31.317451000000002,-89.413033,Hattiesburg,MS,34.0,85.0,10.0,Fair
525687,A-525693,2,2019-12-03 07:41:18,2019-12-03 08:41:49,31.348419,-89.33557900000001,Hattiesburg,MS,34.0,85.0,10.0,Fair
525688,A-525694,2,2019-12-03 08:15:02,2019-12-03 08:59:38,31.321509999999996,-89.381187,Hattiesburg,MS,34.0,85.0,10.0,Fair
525689,A-525695,2,2019-12-03 08:13:49,2019-12-03 09:29:36,31.42046,-89.545822,Sumrall,MS,39.0,79.0,10.0,Fair
525690,A-525696,2,2019-12-03 08:14:23,2019-12-03 08:59:37,31.429410999999998,-89.318871,Hattiesburg,MS,34.0,85.0,10.0,Fair
525691,A-525697,2,2019-12-03 08:38:12,2019-12-03 09:53:01,34.361698,-89.569901,Oxford,MS,34.0,81.0,10.0,Fair
525692,A-525698,2,2019-12-03 11:41:00,2019-12-03 12:10:34,31.322435,-89.373825,Hattiesburg,MS,50.0,44.0,10.0,Fair
525693,A-525699,3,2019-12-03 12:52:16,2019-12-03 15:03:49,30.432194,-89.094025,Gulfport,MS,53.0,48.0,10.0,Fair
525694,A-525700,2,2019-12-03 16:48:05,2019-12-03 17:32:47,31.317451000000002,-89.413033,Hattiesburg,MS,52.0,49.0,10.0,Fair
525695,A-525701,2,2019-12-03 16:48:07,2019-12-03 17:58:10,31.390240000000002,-89.3778,Hattiesburg,MS,52.0,49.0,10.0,Fair
