,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
160011,A-160013,3,2016-06-21 09:47:44,2016-06-21 11:06:10,41.212105,-96.091339,Omaha,NE,75.0,67.0,10.0,Clear
160012,A-160014,3,2016-06-21 11:05:19,2016-06-21 11:35:19,41.205257,-96.094177,Omaha,NE,78.1,69.0,10.0,Clear
160014,A-160016,2,2016-06-21 11:48:31,2016-06-21 12:18:31,41.252113,-96.04298399999999,Omaha,NE,79.7,68.0,10.0,Clear
160016,A-160018,2,2016-06-21 12:17:29,2016-06-21 12:47:29,41.157009,-95.927689,Bellevue,NE,80.6,70.0,10.0,Clear
160017,A-160019,2,2016-06-21 12:40:35,2016-06-21 13:10:35,41.299618,-95.985466,Omaha,NE,84.0,55.0,10.0,Partly Cloudy
160018,A-160020,2,2016-06-21 12:37:50,2016-06-21 13:07:50,41.241501,-95.963806,Omaha,NE,84.0,55.0,10.0,Partly Cloudy
160019,A-160021,3,2016-06-21 12:59:39,2016-06-21 13:29:39,41.234238,-96.086388,Omaha,NE,82.0,68.0,10.0,Clear
160020,A-160022,2,2016-06-21 13:14:43,2016-06-21 13:44:43,41.205143,-96.119865,Omaha,NE,83.3,67.0,10.0,Clear
160021,A-160023,2,2016-06-21 13:11:05,2016-06-21 13:41:05,41.257633,-95.942314,Omaha,NE,84.0,55.0,10.0,Partly Cloudy
160022,A-160024,2,2016-06-21 13:43:34,2016-06-21 14:13:34,41.234035,-96.1007,Omaha,NE,83.1,68.0,10.0,Scattered Clouds
160023,A-160025,2,2016-06-21 13:46:30,2016-06-21 14:16:30,41.293633,-96.087059,Omaha,NE,83.8,70.0,10.0,Mostly Cloudy
160024,A-160026,2,2016-06-21 13:45:15,2016-06-21 14:15:15,41.230247,-96.043114,Omaha,NE,83.1,68.0,10.0,Scattered Clouds
160025,A-160027,2,2016-06-21 14:25:28,2016-06-21 14:55:28,41.244564000000004,-96.023972,Omaha,NE,84.0,70.0,10.0,Overcast
160026,A-160028,2,2016-06-21 14:29:08,2016-06-21 14:59:08,41.259762,-95.955833,Omaha,NE,86.0,63.0,10.0,Scattered Clouds
160027,A-160029,2,2016-06-21 15:07:19,2016-06-21 15:37:19,41.258590999999996,-96.18985699999999,Omaha,NE,85.6,68.0,10.0,Scattered Clouds
160028,A-160030,2,2016-06-21 15:06:49,2016-06-21 15:36:49,41.262584999999994,-96.188698,Omaha,NE,85.6,68.0,10.0,Scattered Clouds
160029,A-160031,3,2016-06-21 15:01:48,2016-06-21 15:31:48,41.24876,-96.084991,Omaha,NE,85.1,70.0,10.0,Scattered Clouds
160030,A-160032,2,2016-06-21 15:16:19,2016-06-21 15:46:19,41.289577,-96.019142,Omaha,NE,86.0,63.0,10.0,Scattered Clouds
160031,A-160033,2,2016-06-21 15:34:50,2016-06-21 16:04:50,41.287788,-95.956558,Omaha,NE,88.0,61.0,10.0,Scattered Clouds
160032,A-160034,2,2016-06-21 15:44:39,2016-06-21 16:14:39,41.183853000000006,-95.931404,Bellevue,NE,88.0,64.0,10.0,Clear
160033,A-160035,3,2016-06-21 16:06:01,2016-06-21 16:36:01,41.227043,-95.954391,Omaha,NE,88.0,61.0,10.0,Scattered Clouds
160034,A-160036,2,2016-06-21 17:03:19,2016-06-21 17:33:19,41.190742,-96.137375,Omaha,NE,87.8,68.0,10.0,Clear
160035,A-160037,2,2016-06-21 17:37:23,2016-06-21 18:07:23,41.158836,-95.939011,Bellevue,NE,88.9,66.0,10.0,Clear
160036,A-160038,2,2016-06-21 17:46:47,2016-06-21 18:31:47,41.24855,-96.157875,Omaha,NE,88.7,69.0,10.0,Clear
160037,A-160039,2,2016-06-21 17:42:35,2016-06-21 18:27:35,41.279583,-96.138824,Omaha,NE,88.7,68.0,10.0,Clear
160038,A-160040,3,2016-06-21 17:40:53,2016-06-21 18:10:53,41.25713,-95.95401,Omaha,NE,90.0,61.0,10.0,Partly Cloudy
160039,A-160041,2,2016-06-21 17:55:07,2016-06-21 18:40:07,41.269676000000004,-96.23539,Elkhorn,NE,88.7,69.0,10.0,Clear
160040,A-160042,3,2016-06-21 17:54:39,2016-06-21 18:24:39,41.212105,-96.091339,Omaha,NE,88.7,69.0,10.0,Clear
160041,A-160043,2,2016-06-21 18:19:33,2016-06-21 18:49:33,41.263611,-96.082657,Omaha,NE,88.7,68.0,10.0,Clear
