,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
194809,A-194811,2,2016-12-05 06:28:02,2016-12-05 07:27:39,42.70533,-71.351265,Pelham,NH,28.9,75.0,2.0,Light Snow
194847,A-194849,2,2016-12-05 07:20:02,2016-12-05 08:05:02,42.735039,-71.45845,Nashua,NH,26.6,93.0,0.8,Light Snow
194933,A-194935,2,2016-12-05 10:57:55,2016-12-05 11:55:00,42.715069,-71.449905,Nashua,NH,30.2,93.0,1.2,Light Snow
195026,A-195028,2,2016-12-06 06:19:02,2016-12-06 07:17:32,42.720394,-71.449722,Nashua,NH,17.1,96.0,10.0,Clear
195677,A-195679,3,2016-12-09 15:08:23,2016-12-09 16:08:23,42.76149,-71.23335300000001,Salem,NH,33.1,37.0,10.0,Clear
195814,A-195816,3,2016-12-12 04:56:15,2016-12-12 05:26:05,42.76149,-71.23335300000001,Salem,NH,33.1,96.0,1.0,Light Snow
195838,A-195840,3,2016-12-12 05:44:59,2016-12-12 06:44:32,42.76149,-71.23335300000001,Salem,NH,34.0,96.0,1.0,Light Snow
196409,A-196411,2,2016-12-14 17:21:18,2016-12-14 17:50:53,42.789722,-71.495605,Nashua,NH,28.9,28.0,10.0,Clear
196668,A-196670,3,2016-12-16 08:21:44,2016-12-16 09:20:00,42.76149,-71.23335300000001,Salem,NH,1.9,47.0,10.0,Clear
196727,A-196729,3,2016-12-16 13:19:35,2016-12-16 13:49:17,42.747078,-71.213409,Salem,NH,12.0,30.0,10.0,Clear
196766,A-196768,2,2016-12-16 17:30:32,2016-12-16 17:59:41,42.769062,-71.493362,Nashua,NH,9.0,64.0,10.0,Clear
196816,A-196818,3,2016-12-17 08:48:26,2016-12-17 09:18:06,42.729378000000004,-71.452545,Nashua,NH,16.0,92.0,0.5,Snow
197417,A-197419,2,2016-12-22 06:08:42,2016-12-22 07:07:49,42.708141,-71.450874,Nashua,NH,28.4,100.0,3.0,Light Snow
197702,A-197704,3,2016-12-23 14:31:43,2016-12-23 15:00:55,42.760132,-71.23195600000001,Salem,NH,45.0,48.0,10.0,Clear
197892,A-197894,2,2016-12-27 00:22:30,2016-12-27 01:06:28,42.746655,-71.492561,Nashua,NH,42.1,100.0,10.0,Light Rain
198000,A-198002,2,2016-12-27 14:56:22,2016-12-27 15:40:48,42.721218,-71.449852,Nashua,NH,50.0,43.0,10.0,Partly Cloudy
198414,A-198416,2,2016-12-30 10:44:32,2016-12-30 11:14:25,42.780968,-71.904984,New Ipswich,NH,30.0,88.0,0.8,Light Snow
198473,A-198475,2,2016-12-30 16:44:54,2016-12-30 17:14:43,42.779118,-71.308128,Windham,NH,34.0,59.0,10.0,Clear
198602,A-198604,2,2017-01-03 07:34:05,2017-01-03 08:03:52,42.762367,-72.038177,Rindge,NH,35.6,93.0,2.5,Light Rain
198642,A-198644,2,2017-01-03 10:32:28,2017-01-03 11:02:10,42.761016999999995,-71.46186800000001,Nashua,NH,37.4,93.0,2.0,Light Rain
198985,A-198987,2,2017-01-06 08:44:06,2017-01-06 09:13:55,42.78791,-72.033875,Rindge,NH,23.0,80.0,1.8,Light Snow
199003,A-199005,2,2017-01-06 10:07:43,2017-01-06 10:37:18,42.788307,-72.14814799999999,Fitzwilliam,NH,21.9,82.0,10.0,Mostly Cloudy
199334,A-199336,2,2017-01-09 08:41:14,2017-01-09 09:11:05,42.789249,-71.495514,Nashua,NH,9.0,80.0,10.0,Clear
199666,A-199668,3,2017-01-10 09:04:27,2017-01-10 09:34:12,42.759624,-71.232414,Salem,NH,17.1,68.0,10.0,Clear
199783,A-199785,2,2017-01-11 04:28:21,2017-01-11 04:56:50,42.728558,-71.951622,Rindge,NH,41.0,86.0,10.0,Light Rain
199805,A-199807,2,2017-01-11 06:48:34,2017-01-11 07:17:14,42.792812,-72.465683,Ashuelot,NH,42.1,82.0,10.0,Mostly Cloudy
199874,A-199876,2,2017-01-11 09:10:58,2017-01-11 09:40:48,42.764599,-71.855568,New Ipswich,NH,41.0,82.0,10.0,Partly Cloudy
200223,A-200225,2,2017-01-13 10:56:20,2017-01-13 11:25:56,42.749855,-71.481491,Nashua,NH,43.0,43.0,10.0,Partly Cloudy
200284,A-200286,3,2017-01-13 19:15:15,2017-01-13 19:45:15,42.778831,-71.245552,Salem,NH,32.0,37.0,10.0,Clear
200983,A-200985,2,2017-01-19 16:38:35,2017-01-19 17:08:12,42.708115,-71.45056899999999,Nashua,NH,36.0,100.0,10.0,Overcast
200993,A-200995,2,2017-01-19 17:52:52,2017-01-19 18:37:03,42.796059,-72.032104,Jaffrey,NH,37.0,79.0,10.0,Overcast
201430,A-201432,2,2017-01-24 05:47:58,2017-01-24 06:17:50,42.74548,-72.396469,Winchester,NH,30.0,82.0,6.0,Light Snow
201451,A-201453,2,2017-01-24 06:24:35,2017-01-24 06:54:35,42.767113,-71.49365999999999,Nashua,NH,30.2,93.0,1.8,Light Snow
201941,A-201943,2,2017-01-26 10:42:51,2017-01-26 11:12:28,42.725933000000005,-71.423965,Hudson,NH,44.1,76.0,10.0,Overcast
202273,A-202275,2,2016-10-22 09:30:47,2016-10-22 10:00:22,42.736686999999996,-71.461052,Nashua,NH,59.0,94.0,10.0,Overcast
202614,A-202616,2,2016-10-25 12:45:09,2016-10-25 13:59:35,42.772507,-71.614311,Hollis,NH,46.0,35.0,10.0,Mostly Cloudy
203063,A-203065,2,2016-10-31 04:10:12,2016-10-31 04:55:55,42.725235,-71.980278,Rindge,NH,39.0,73.0,10.0,Overcast
203807,A-203809,2,2016-11-04 08:54:01,2016-11-04 09:53:38,42.769062,-71.493362,Nashua,NH,45.0,90.0,10.0,Scattered Clouds
204165,A-204167,2,2016-11-07 13:54:29,2016-11-07 14:24:29,42.775894,-71.490967,Nashua,NH,48.9,43.0,10.0,Clear
204223,A-204225,2,2016-11-07 18:43:19,2016-11-07 19:12:52,42.789722,-71.495605,Nashua,NH,35.1,76.0,10.0,Clear
204346,A-204348,2,2016-11-08 10:30:13,2016-11-08 11:29:37,42.789722,-71.495605,Nashua,NH,55.0,49.0,10.0,Clear
204672,A-204674,2,2016-11-10 09:05:23,2016-11-10 10:04:48,42.776852000000005,-72.104691,Fitzwilliam,NH,36.0,70.0,10.0,Clear
204845,A-204847,2,2016-11-11 08:09:54,2016-11-11 09:00:00,42.776627000000005,-71.492836,Nashua,NH,50.0,59.0,10.0,Partly Cloudy
205032,A-205034,3,2016-11-13 07:52:41,2016-11-13 08:22:16,42.777596,-71.244461,Salem,NH,45.0,49.0,10.0,Clear
205168,A-205170,2,2016-11-14 09:46:43,2016-11-14 10:46:27,42.76965,-71.351463,Pelham,NH,53.1,31.0,10.0,Clear
205197,A-205199,2,2016-11-14 12:11:19,2016-11-14 13:00:00,42.747353000000004,-71.501434,Nashua,NH,61.0,21.0,10.0,Clear
205787,A-205789,3,2016-11-17 06:22:41,2016-11-17 07:15:00,42.777596,-71.244461,Salem,NH,48.0,77.0,10.0,Overcast
206060,A-206062,2,2016-11-18 12:40:48,2016-11-18 13:40:34,42.783592,-71.50576,Nashua,NH,60.1,46.0,10.0,Clear
206375,A-206377,2,2016-11-21 08:15:00,2016-11-21 09:14:39,42.73914,-71.703712,Brookline,NH,30.9,67.0,10.0,Overcast
