,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
588841,A-588850,2,2019-10-15 09:58:30,2019-10-15 10:28:03,46.847347,-96.81938199999999,Fargo,ND,40.0,97.0,6.0,Light Rain
690383,A-690392,3,2019-10-01 22:12:00,2019-10-01 22:40:55,46.847347,-96.81938199999999,Fargo,ND,42.0,82.0,10.0,Partly Cloudy
821047,A-821056,3,2019-07-25 14:18:33,2019-07-25 15:20:31,46.847347,-96.81938199999999,Fargo,ND,78.0,71.0,10.0,Thunder in the Vicinity
1096118,A-1096131,3,2019-02-04 18:27:57,2019-02-04 19:12:37,47.933193,-97.09362,Grand Forks,ND,-8.0,79.0,2.0,Blowing Snow
1119967,A-1119981,3,2019-02-14 16:07:50,2019-02-14 16:37:35,46.896053,-102.788422,Dickinson,ND,-0.9,60.0,10.0,Clear
1400986,A-1401002,3,2018-09-06 08:08:20,2018-09-06 08:38:03,46.880718,-99.63726,Tappen,ND,53.1,86.0,10.0,Overcast
1464848,A-1464864,3,2018-08-07 17:39:04,2018-08-07 18:08:11,46.877964,-99.300163,Medina,ND,84.0,58.0,10.0,Clear
1534317,A-1534334,3,2018-07-12 11:11:45,2018-07-12 12:26:24,46.877140000000004,-97.05275,Mapleton,ND,75.9,69.0,10.0,Clear
1670968,A-1670991,2,2018-05-21 05:55:07,2018-05-21 06:24:39,46.888599,-96.79962900000001,Fargo,ND,45.0,71.0,10.0,Clear
1985405,A-1985428,2,2017-12-27 05:41:47,2017-12-27 06:41:23,48.581299,-102.004341,Kenmare,ND,-25.6,69.0,10.0,Clear
2114761,A-2114784,3,2017-09-01 13:30:25,2017-09-01 14:15:16,46.892384,-98.333321,Spiritwood,ND,71.1,81.0,10.0,Overcast
2183057,A-2183081,3,2017-08-01 08:02:16,2017-08-01 08:31:50,46.899204,-98.708099,Jamestown,ND,64.0,84.0,10.0,Clear
2200256,A-2200280,3,2017-08-09 17:25:40,2017-08-09 18:07:07,46.892384,-98.333321,Spiritwood,ND,70.0,76.0,10.0,Overcast
2258982,A-2259006,4,2016-12-06 08:53:52,2016-12-06 14:53:52,48.005390000000006,-97.859596,Niagara,ND,28.2,92.0,0.5,Light Snow
2274669,A-2274693,4,2016-09-06 00:26:23,2016-09-06 06:26:23,46.828959999999995,-100.87115,Mandan,ND,55.4,100.0,10.0,Overcast
2274670,A-2274694,4,2016-09-06 00:26:23,2016-09-06 06:26:23,46.827659999999995,-100.88073,Mandan,ND,55.4,100.0,10.0,Overcast
2631717,A-2631741,4,2019-03-27 09:11:43,2019-03-27 09:41:10,46.38585,-100.78959,Solen,ND,30.9,100.0,10.0,Clear
2633245,A-2633269,2,2019-03-30 18:33:00,2019-03-30 19:01:00,46.90894,-96.83958,Fargo,ND,30.0,64.0,10.0,Clear
2640377,A-2640401,4,2019-02-07 08:57:41,2019-02-07 09:27:03,46.84752,-96.86893,Fargo,ND,-5.1,83.0,0.2,Snow
2640396,A-2640420,4,2019-02-07 11:57:41,2019-02-07 12:27:01,46.90488,-96.80311999999999,Fargo,ND,-5.1,80.0,0.2,Heavy Snow
2640398,A-2640422,4,2019-02-07 12:38:12,2019-02-07 13:07:52,46.84774,-96.868707,Fargo,ND,-5.1,83.0,0.2,Light Snow
2640399,A-2640423,4,2019-02-07 12:38:12,2019-02-07 13:07:52,46.87401,-97.20619,Mapleton,ND,-5.1,83.0,0.2,Light Snow
2645834,A-2645858,2,2019-02-15 14:51:32,2019-02-15 15:20:54,46.29283,-99.14851999999999,Fredonia,ND,1.0,75.0,10.0,Clear
2646661,A-2646685,2,2019-02-17 10:01:14,2019-02-17 10:30:47,46.2831,-99.175483,Fredonia,ND,7.0,80.0,10.0,Partly Cloudy
2697525,A-2697549,2,2018-11-10 18:53:01,2018-11-10 19:22:35,47.99048,-97.09255999999999,Grand Forks,ND,18.0,81.0,3.0,Light Snow
2758238,A-2758262,2,2018-07-15 15:35:58,2018-07-15 16:05:53,46.88149,-100.77234,Bismarck,ND,81.0,28.0,10.0,Clear
2776168,A-2776192,2,2018-05-03 10:13:10,2018-05-03 16:13:10,46.86423,-99.91105,Steele,ND,55.0,51.0,10.0,Clear
2776176,A-2776200,2,2018-05-03 13:58:10,2018-05-03 19:58:10,46.822165999999996,-100.90486999999999,Mandan,ND,68.0,30.0,10.0,Overcast
2776293,A-2776317,2,2018-05-03 09:07:55,2018-05-03 15:07:55,48.23392,-103.62581,Williston,ND,48.9,71.0,10.0,Mostly Cloudy
2776653,A-2776677,2,2018-05-04 07:37:10,2018-05-04 13:37:10,46.455545,-100.927229,Solen,ND,46.0,63.0,10.0,Overcast
