,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
512588,A-512594,2,2019-12-25 02:33:15,2019-12-25 06:16:53,38.954788,-119.765221,Minden,NV,25.0,72.0,10.0,Cloudy
512591,A-512597,3,2019-12-25 18:06:48,2019-12-25 20:06:38,39.396587,-119.75804099999999,Reno,NV,37.0,52.0,10.0,Cloudy
513317,A-513323,2,2019-12-26 08:25:54,2019-12-26 09:40:35,39.3764,-119.839073,Reno,NV,33.0,61.0,10.0,Mostly Cloudy
513318,A-513324,2,2019-12-26 12:10:18,2019-12-26 14:09:54,38.966148,-118.80960800000001,Schurz,NV,35.0,70.0,10.0,Mostly Cloudy
513353,A-513359,3,2019-12-26 21:27:31,2019-12-26 22:11:49,40.635715000000005,-116.94493899999999,Battle Mountain,NV,22.0,82.0,10.0,Fair
514991,A-514997,2,2019-12-27 14:26:21,2019-12-27 15:41:20,39.465378,-119.786827,Reno,NV,41.0,33.0,10.0,Partly Cloudy
514992,A-514998,2,2019-12-27 14:38:21,2019-12-27 15:58:56,39.536568,-119.802719,Reno,NV,41.0,33.0,10.0,Partly Cloudy
514993,A-514999,2,2019-12-27 16:51:21,2019-12-27 18:10:54,39.393127,-119.72436499999999,Reno,NV,38.0,38.0,10.0,Cloudy
515835,A-515841,3,2019-12-28 17:27:26,2019-12-28 18:17:37,39.466282,-119.78668200000001,Reno,NV,39.0,46.0,10.0,Partly Cloudy
515862,A-515868,2,2019-12-28 13:37:15,2019-12-28 14:06:54,40.973118,-117.73616000000001,Winnemucca,NV,37.0,50.0,10.0,Fair
518200,A-518206,2,2019-12-30 06:58:30,2019-12-30 07:43:00,41.098465000000004,-115.11091599999999,Wells,NV,29.0,89.0,10.0,Cloudy
518201,A-518207,2,2019-12-30 07:06:53,2019-12-30 07:52:19,40.933388,-115.66577099999999,Elko,NV,29.0,89.0,10.0,Cloudy
518206,A-518212,2,2019-12-30 08:18:00,2019-12-30 09:04:33,41.030125,-115.382195,Deeth,NV,30.0,85.0,8.0,Cloudy
518298,A-518304,2,2019-12-30 05:52:06,2019-12-30 07:08:50,39.546116,-119.78811599999999,Reno,NV,37.0,82.0,10.0,Cloudy
518299,A-518305,2,2019-12-30 08:58:18,2019-12-30 09:42:49,39.536415000000005,-119.78668200000001,Reno,NV,37.0,82.0,10.0,Cloudy
519775,A-519781,2,2019-12-31 16:39:21,2019-12-31 18:06:33,39.37426,-115.417068,Ely,NV,25.0,69.0,10.0,Mostly Cloudy
519791,A-519797,2,2019-12-31 16:54:15,2019-12-31 19:15:33,40.827419,-115.755508,Elko,NV,33.0,70.0,10.0,Cloudy
519900,A-519906,2,2019-12-30 22:59:53,2019-12-30 23:29:44,38.96759,-119.924103,Stateline,NV,32.0,73.0,10.0,Partly Cloudy
519901,A-519907,2,2019-12-31 07:01:06,2019-12-31 07:45:00,39.243832,-119.81307199999999,Washoe Valley,NV,34.0,81.0,10.0,Mostly Cloudy
519903,A-519909,2,2019-12-31 13:38:40,2019-12-31 15:23:29,39.12043,-119.77146100000002,Carson City,NV,46.0,46.0,10.0,Fair
519904,A-519910,2,2019-12-31 14:16:13,2019-12-31 15:15:55,39.101875,-119.774796,Carson City,NV,48.0,43.0,10.0,Fair
519905,A-519911,3,2019-12-31 15:42:16,2019-12-31 18:06:47,39.527167999999996,-119.706673,Sparks,NV,47.0,46.0,10.0,Mostly Cloudy
519906,A-519912,2,2019-12-31 15:50:45,2019-12-31 17:32:31,39.546116,-119.78811599999999,Reno,NV,47.0,46.0,10.0,Mostly Cloudy
519907,A-519913,2,2019-12-31 16:34:28,2019-12-31 18:07:39,39.556477,-119.766998,Sparks,NV,45.0,49.0,10.0,Mostly Cloudy
519908,A-519914,2,2019-12-31 17:39:11,2019-12-31 19:26:13,39.36739,-119.66678600000002,Reno,NV,41.0,62.0,10.0,Mostly Cloudy
520766,A-520772,3,2019-12-01 11:50:34,2019-12-01 13:50:58,36.770416,-114.234642,Overton,NV,50.0,44.0,10.0,Cloudy
520769,A-520775,2,2019-12-01 15:32:56,2019-12-01 17:11:00,36.734421000000005,-114.436539,Overton,NV,49.0,52.0,10.0,Cloudy
520803,A-520809,2,2019-12-01 12:44:42,2019-12-01 13:45:20,39.09837,-119.910362,Glenbrook,NV,36.0,75.0,10.0,Fair
520804,A-520810,2,2019-12-01 12:47:03,2019-12-01 13:31:51,38.967762,-119.935852,Stateline,NV,36.0,93.0,9.0,Light Rain
520805,A-520811,2,2019-12-01 13:57:54,2019-12-01 15:12:36,39.481068,-119.789604,Reno,NV,37.0,82.0,10.0,Light Rain
520807,A-520813,2,2019-12-01 14:10:26,2019-12-01 15:31:00,39.499519,-119.998283,Verdi,NV,37.0,82.0,10.0,Light Rain
520809,A-520815,2,2019-12-01 15:33:33,2019-12-01 17:09:00,39.246235,-119.813576,Washoe Valley,NV,34.0,87.0,1.0,Wintry Mix
520811,A-520817,2,2019-12-01 16:39:25,2019-12-01 18:49:44,39.514171999999995,-119.92617,Reno,NV,35.0,92.0,3.0,Light Rain
520812,A-520818,2,2019-12-01 19:46:29,2019-12-01 20:51:54,39.396587,-119.75804099999999,Reno,NV,35.0,92.0,5.0,Cloudy
523382,A-523388,3,2019-12-02 04:25:21,2019-12-02 06:51:04,39.213352,-119.806458,Washoe Valley,NV,34.0,93.0,4.0,Light Snow
523383,A-523389,2,2019-12-02 04:26:06,2019-12-02 05:23:32,39.511421,-119.965675,Verdi,NV,35.0,96.0,2.0,Light Rain
523385,A-523391,2,2019-12-02 08:29:35,2019-12-02 10:07:36,39.359772,-119.853371,Reno,NV,36.0,89.0,10.0,Light Rain
523386,A-523392,2,2019-12-02 12:22:43,2019-12-02 14:33:35,39.52636,-119.701401,Sparks,NV,41.0,79.0,10.0,Mostly Cloudy
523387,A-523393,2,2019-12-02 16:44:31,2019-12-02 17:14:10,38.742519,-119.563728,Gardnerville,NV,35.0,96.0,8.0,Cloudy
