,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
194263,A-194265,3,2016-11-30 15:34:52,2016-11-30 17:06:30,41.84576,-71.410995,Providence,RI,46.9,97.0,10.0,Light Rain
194264,A-194266,3,2016-11-30 16:19:03,2016-11-30 17:03:33,41.800948999999996,-71.402985,Providence,RI,48.9,90.0,10.0,Light Rain
194265,A-194267,3,2016-11-30 15:58:03,2016-11-30 16:57:41,41.882149,-71.377525,Pawtucket,RI,46.9,97.0,10.0,Light Rain
194273,A-194275,2,2016-11-30 17:13:20,2016-11-30 17:42:50,41.750015000000005,-71.45188900000001,Cranston,RI,48.0,89.0,10.0,Light Rain
194274,A-194276,3,2016-11-30 17:12:37,2016-11-30 17:42:17,41.83617,-71.415436,Providence,RI,46.0,96.0,9.0,Light Rain
194287,A-194289,2,2016-11-30 18:18:35,2016-11-30 18:48:11,41.62936,-71.486801,East Greenwich,RI,48.0,89.0,10.0,Light Rain
194288,A-194290,3,2016-11-30 18:17:56,2016-11-30 18:47:27,41.800594,-71.403076,Providence,RI,48.0,89.0,10.0,Light Rain
194289,A-194291,3,2016-11-30 18:19:14,2016-11-30 18:48:56,41.819302,-71.389595,Providence,RI,48.0,89.0,10.0,Light Rain
194301,A-194303,3,2016-11-30 19:04:33,2016-11-30 19:34:12,41.873158000000004,-71.387466,Pawtucket,RI,46.0,96.0,10.0,Light Rain
194395,A-194397,2,2016-12-01 08:01:46,2016-12-01 08:31:30,41.868396999999995,-71.43087,Providence,RI,46.0,100.0,10.0,Clear
194412,A-194414,2,2016-12-01 08:14:39,2016-12-01 08:44:24,41.821945,-71.470184,Providence,RI,52.0,80.0,10.0,Partly Cloudy
194426,A-194428,3,2016-12-01 09:04:10,2016-12-01 09:33:56,41.804562,-71.510948,Johnston,RI,50.0,86.0,10.0,Clear
194435,A-194437,3,2016-12-01 09:21:44,2016-12-01 09:50:50,41.882149,-71.377525,Pawtucket,RI,50.0,86.0,10.0,Clear
194470,A-194472,3,2016-12-01 11:52:35,2016-12-01 12:22:15,41.83617,-71.415436,Providence,RI,53.1,64.0,10.0,Mostly Cloudy
194481,A-194483,2,2016-12-01 14:20:54,2016-12-01 15:05:11,41.82589,-71.42588,Providence,RI,57.0,47.0,10.0,Partly Cloudy
194495,A-194497,2,2016-12-01 16:39:52,2016-12-01 17:23:50,41.753174,-71.464363,Cranston,RI,51.1,50.0,10.0,Mostly Cloudy
194505,A-194507,3,2016-12-01 17:22:45,2016-12-01 17:52:09,41.818672,-71.381371,East Providence,RI,50.0,50.0,10.0,Mostly Cloudy
194577,A-194579,3,2016-12-02 08:07:38,2016-12-02 08:37:19,41.942822,-71.475479,Lincoln,RI,37.9,73.0,10.0,Clear
194617,A-194619,3,2016-12-02 11:45:20,2016-12-02 12:15:03,41.811031,-71.405548,Providence,RI,48.9,48.0,10.0,Scattered Clouds
194629,A-194631,3,2016-12-02 12:42:48,2016-12-02 13:12:29,41.811031,-71.405548,Providence,RI,50.0,44.0,10.0,Scattered Clouds
194645,A-194647,3,2016-12-02 16:09:05,2016-12-02 16:53:00,41.811031,-71.405548,Providence,RI,46.9,50.0,10.0,Scattered Clouds
194653,A-194655,2,2016-12-02 16:35:34,2016-12-02 17:20:09,41.808628000000006,-71.44079599999999,Providence,RI,48.0,50.0,10.0,Mostly Cloudy
194673,A-194675,3,2016-12-02 17:57:34,2016-12-02 18:26:54,41.748184,-71.443031,Warwick,RI,48.0,46.0,10.0,Mostly Cloudy
194679,A-194681,3,2016-12-02 18:54:00,2016-12-02 19:23:25,41.697548,-71.475235,Warwick,RI,46.0,47.0,10.0,Mostly Cloudy
194807,A-194809,3,2016-12-05 06:25:21,2016-12-05 06:54:58,41.697548,-71.475235,Warwick,RI,30.0,88.0,1.0,Light Snow
194816,A-194818,3,2016-12-05 06:40:30,2016-12-05 07:10:17,41.714405,-71.472084,Warwick,RI,30.2,86.0,1.8,Light Snow
194825,A-194827,2,2016-12-05 06:47:47,2016-12-05 07:17:37,41.942822,-71.475479,Lincoln,RI,28.4,93.0,2.0,Light Snow
194844,A-194846,2,2016-12-05 07:10:27,2016-12-05 07:40:17,41.964973,-71.483673,Manville,RI,28.0,92.0,2.5,Light Snow
194861,A-194863,3,2016-12-05 07:48:11,2016-12-05 08:17:48,41.811031,-71.405548,Providence,RI,30.9,92.0,3.0,Light Snow
194870,A-194872,2,2016-12-05 08:14:11,2016-12-05 08:44:00,41.964428000000005,-71.484512,Lincoln,RI,28.9,92.0,1.2,Light Snow
194876,A-194878,2,2016-12-05 08:28:09,2016-12-05 08:57:52,41.613704999999996,-71.492073,East Greenwich,RI,32.0,92.0,3.0,Light Rain
194877,A-194879,2,2016-12-05 08:29:27,2016-12-05 08:59:02,41.666798,-71.490311,East Greenwich,RI,32.0,92.0,3.0,Light Rain
194895,A-194897,3,2016-12-05 08:52:31,2016-12-05 09:22:12,41.814609999999995,-71.370094,East Providence,RI,32.0,92.0,3.0,Light Rain
194916,A-194918,2,2016-12-05 09:58:20,2016-12-05 10:28:02,41.813931,-71.439766,Providence,RI,33.1,92.0,3.0,Light Rain
194964,A-194966,2,2016-12-05 14:44:19,2016-12-05 15:13:56,41.934703999999996,-71.46624,Lincoln,RI,39.2,87.0,10.0,Mostly Cloudy
194973,A-194975,3,2016-12-05 16:17:30,2016-12-05 16:46:47,41.819302,-71.389595,Providence,RI,41.0,76.0,10.0,Scattered Clouds
194985,A-194987,3,2016-12-05 17:54:47,2016-12-05 18:24:47,41.842754,-71.41091899999999,Providence,RI,33.1,96.0,10.0,Clear
195045,A-195047,3,2016-12-06 07:26:35,2016-12-06 07:56:16,41.83617,-71.415436,Providence,RI,27.0,89.0,10.0,Clear
195054,A-195056,2,2016-12-06 07:46:42,2016-12-06 08:16:19,41.800090999999995,-71.374901,East Providence,RI,32.0,88.0,10.0,Partly Cloudy
195059,A-195061,2,2016-12-06 07:56:33,2016-12-06 08:26:21,41.960499,-71.493866,North Smithfield,RI,32.0,88.0,10.0,Clear
195060,A-195062,3,2016-12-06 07:56:57,2016-12-06 08:26:43,41.824638,-71.41935,Providence,RI,32.0,88.0,10.0,Partly Cloudy
195066,A-195068,2,2016-12-06 08:11:34,2016-12-06 08:41:15,41.813931,-71.439766,Providence,RI,32.0,88.0,10.0,Partly Cloudy
195097,A-195099,3,2016-12-06 08:51:48,2016-12-06 09:21:38,41.873112,-71.39057199999999,Pawtucket,RI,39.0,82.0,10.0,Clear
195166,A-195168,3,2016-12-06 16:16:33,2016-12-06 16:46:12,41.781425,-71.424454,Cranston,RI,42.1,53.0,10.0,Mostly Cloudy
195189,A-195191,3,2016-12-06 17:46:50,2016-12-06 18:16:07,41.855511,-71.406601,Providence,RI,37.9,65.0,10.0,Clear
195190,A-195192,3,2016-12-06 17:47:29,2016-12-06 18:17:09,41.814609999999995,-71.370094,East Providence,RI,39.9,63.0,10.0,Overcast
195193,A-195195,2,2016-12-06 17:54:39,2016-12-06 18:24:39,41.759796,-71.41613000000001,Warwick,RI,39.9,63.0,10.0,Overcast
195229,A-195231,2,2016-12-07 07:00:44,2016-12-07 07:30:29,41.813931,-71.439766,Providence,RI,37.9,89.0,2.5,Light Rain
195230,A-195232,3,2016-12-07 06:56:07,2016-12-07 07:25:50,41.817207,-71.398903,Providence,RI,37.9,89.0,2.5,Light Rain
195242,A-195244,3,2016-12-07 07:30:17,2016-12-07 08:00:05,41.748184,-71.443031,Warwick,RI,37.9,93.0,1.5,Light Rain
195257,A-195259,2,2016-12-07 08:02:53,2016-12-07 08:32:27,41.821945,-71.470184,Providence,RI,37.9,89.0,1.5,Light Rain
195269,A-195271,2,2016-12-07 08:26:44,2016-12-07 08:56:13,41.748184,-71.443031,Warwick,RI,37.9,93.0,1.5,Light Rain
195273,A-195275,3,2016-12-07 08:40:34,2016-12-07 09:10:16,41.754329999999996,-71.437218,Warwick,RI,37.9,93.0,1.5,Light Rain
195286,A-195288,3,2016-12-07 09:10:24,2016-12-07 09:40:05,41.697548,-71.475235,Warwick,RI,37.9,93.0,1.5,Light Rain
195321,A-195323,3,2016-12-07 13:18:12,2016-12-07 14:02:42,41.826015000000005,-71.418846,Providence,RI,42.1,82.0,10.0,Mostly Cloudy
195358,A-195360,2,2016-12-07 17:25:58,2016-12-07 17:55:26,41.813931,-71.439766,Providence,RI,42.1,82.0,10.0,Overcast
