,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
516784,A-516790,3,2019-12-30 17:54:38,2019-12-30 18:53:44,42.965336,-72.521439,Putney,VT,29.0,89.0,2.0,Light Snow
523946,A-523952,2,2019-12-03 07:50:08,2019-12-03 08:49:53,43.017609,-72.526062,Putney,VT,26.0,88.0,4.0,Light Snow
531639,A-531647,2,2019-12-06 10:53:12,2019-12-06 12:09:09,43.05431,-72.665024,Townshend,VT,25.0,75.0,3.0,Light Snow
547077,A-547085,3,2019-12-13 16:09:31,2019-12-13 19:53:35,43.266518,-72.432625,Springfield,VT,29.0,92.0,2.0,Fog
554038,A-554046,3,2019-12-17 04:49:19,2019-12-17 10:44:13,44.383461,-72.93109100000001,Richmond,VT,20.0,78.0,10.0,Fair
556805,A-556813,3,2019-12-18 08:46:43,2019-12-18 10:02:52,42.853737,-72.580353,Brattleboro,VT,27.0,80.0,9.0,Fair
559456,A-559464,3,2019-12-19 16:09:31,2019-12-19 17:38:59,44.793896000000004,-73.069702,Saint Albans,VT,7.0,62.0,10.0,Fair
561976,A-561984,2,2019-12-20 08:37:53,2019-12-20 10:26:56,44.576828000000006,-72.594658,Morrisville,VT,4.0,76.0,5.0,Cloudy
561981,A-561989,2,2019-12-20 10:36:42,2019-12-20 11:23:25,44.699203000000004,-73.106026,Fairfax,VT,10.0,64.0,10.0,Partly Cloudy
568365,A-568373,2,2019-12-24 17:36:49,2019-12-24 18:36:39,44.136520000000004,-72.65975999999999,Northfield,VT,25.0,69.0,10.0,Fair
570612,A-570620,3,2019-10-07 12:54:01,2019-10-07 14:38:28,43.403362,-72.414314,Windsor,VT,59.0,87.0,1.0,Light Rain
570617,A-570625,3,2019-10-07 19:43:20,2019-10-07 21:12:35,44.424225,-73.009125,Richmond,VT,57.0,89.0,10.0,Mostly Cloudy
599814,A-599823,2,2019-10-21 17:24:39,2019-10-21 18:24:20,43.222569,-72.794701,Londonderry,VT,62.0,56.0,10.0,Fair
607943,A-607952,3,2019-10-24 16:54:32,2019-10-24 17:24:03,44.439285,-73.114403,Williston,VT,58.0,51.0,10.0,Mostly Cloudy
614575,A-614584,2,2019-10-28 10:15:01,2019-10-28 13:33:30,42.765331,-72.90892,Whitingham,VT,53.0,80.0,10.0,Cloudy
622317,A-622326,3,2019-10-31 06:15:28,2019-10-31 09:38:48,43.527809000000005,-72.401237,Windsor,VT,57.0,89.0,1.0,Light Rain
637108,A-637117,2,2019-11-07 12:40:14,2019-11-07 15:34:44,44.589031,-72.60462199999999,Hyde Park,VT,34.0,89.0,2.0,Light Snow
639950,A-639959,2,2019-11-08 04:03:52,2019-11-08 07:10:31,44.624889,-72.922478,Underhill,VT,28.0,58.0,10.0,Mostly Cloudy
639956,A-639965,2,2019-11-08 12:41:33,2019-11-08 14:11:11,44.846581,-72.01915,West Charleston,VT,26.0,74.0,10.0,Cloudy
644301,A-644310,3,2019-11-11 16:08:58,2019-11-11 16:38:35,44.505795,-73.181725,Colchester,VT,26.0,84.0,1.0,Light Snow
644307,A-644316,3,2019-11-11 18:08:47,2019-11-11 19:38:30,44.492022999999996,-73.173035,Winooski,VT,25.0,88.0,1.0,Light Snow
646844,A-646853,3,2019-11-12 13:20:54,2019-11-12 19:41:34,44.250984,-72.596222,Montpelier,VT,20.0,78.0,10.0,Cloudy
646845,A-646854,2,2019-11-12 13:50:31,2019-11-13 00:20:38,43.26355,-72.633812,Chester,VT,24.0,75.0,6.0,Light Snow
649982,A-649991,3,2019-11-13 20:47:14,2019-11-13 23:46:07,44.470024,-73.184044,South Burlington,VT,12.0,73.0,10.0,Fair
652834,A-652843,3,2019-11-14 04:04:44,2019-11-14 06:27:27,44.470024,-73.184044,South Burlington,VT,18.0,65.0,10.0,Cloudy
670972,A-670981,2,2019-11-22 07:38:53,2019-11-22 08:59:00,43.003269,-72.541733,Putney,VT,38.0,97.0,4.0,Cloudy
686949,A-686958,4,2019-09-30 04:01:49,2019-09-30 10:18:09,44.590214,-73.17012,Colchester,VT,43.0,86.0,10.0,Fair
689300,A-689309,4,2019-10-01 05:17:29,2019-10-01 10:32:49,44.590214,-73.17012,Colchester,VT,58.0,93.0,5.0,Cloudy
