,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
167348,A-167350,3,2016-12-01 09:27:10,2016-12-01 10:27:10,42.64761,-87.95255300000001,Sturtevant,WI,39.9,79.0,10.0,Overcast
167866,A-167868,3,2016-12-09 19:50:21,2016-12-09 20:34:14,42.560219000000004,-88.976906,Beloit,WI,17.6,79.0,10.0,Scattered Clouds
168261,A-168263,3,2016-12-16 14:18:30,2016-12-16 15:02:23,42.560139,-88.97719599999999,Beloit,WI,17.6,73.0,1.5,Light Snow
168286,A-168288,3,2016-12-16 19:08:57,2016-12-16 19:53:17,42.523711999999996,-87.951714,Pleasant Prairie,WI,19.0,88.0,0.2,Snow
168306,A-168308,3,2016-12-17 10:23:24,2016-12-17 10:52:57,42.567326,-87.952614,Kenosha,WI,17.1,81.0,8.0,Overcast
168314,A-168316,3,2016-12-18 08:10:29,2016-12-18 08:40:09,42.614994,-87.95217099999999,Kenosha,WI,1.0,75.0,10.0,Clear
168610,A-168612,2,2016-12-20 19:36:07,2016-12-20 20:20:40,42.532337,-89.035706,Beloit,WI,24.8,74.0,10.0,Clear
168711,A-168713,2,2016-12-22 15:20:54,2016-12-22 16:05:43,42.574886,-88.550209,Williams Bay,WI,32.2,74.0,10.0,Clear
168734,A-168736,2,2016-12-22 20:03:30,2016-12-22 20:47:42,42.631972999999995,-88.776443,Darien,WI,24.8,86.0,10.0,Scattered Clouds
168761,A-168763,3,2016-12-23 16:10:50,2016-12-23 16:55:26,42.543877,-87.95224,Kenosha,WI,34.0,85.0,1.0,Light Snow
168783,A-168785,3,2016-12-23 19:56:50,2016-12-23 20:41:30,42.627598,-88.616905,Delavan,WI,32.4,100.0,1.8,Light Snow
168817,A-168819,3,2016-12-27 12:59:26,2016-12-27 13:29:04,42.634792,-88.982674,Janesville,WI,24.8,74.0,10.0,Overcast
169285,A-169287,2,2017-01-09 20:34:19,2017-01-09 21:18:53,42.566837,-87.89009899999999,Kenosha,WI,28.0,81.0,9.0,Overcast
169421,A-169423,3,2017-01-11 19:40:11,2017-01-11 20:24:37,42.527527,-88.97509000000001,Beloit,WI,26.6,100.0,7.0,Overcast
169434,A-169436,3,2017-01-12 06:49:51,2017-01-12 07:17:40,42.640377,-87.952721,Sturtevant,WI,19.0,81.0,10.0,Overcast
170104,A-170106,3,2017-01-25 16:20:38,2017-01-25 17:05:30,42.634792,-88.982674,Janesville,WI,33.8,100.0,4.0,Light Drizzle
