,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
515790,A-515796,3,2019-12-28 16:46:35,2019-12-28 17:45:40,41.674194,-107.98104099999999,Wamsutter,WY,12.0,84.0,7.0,Cloudy
515800,A-515806,3,2019-12-28 20:53:48,2019-12-28 21:22:58,41.175701000000004,-104.075905,Pine Bluffs,WY,21.0,93.0,5.0,Light Snow / Windy
538089,A-538097,4,2019-12-08 22:57:18,2019-12-09 00:12:27,42.844227000000004,-106.21662099999999,Evansville,WY,15.0,84.0,4.0,Light Snow
585125,A-585134,3,2019-10-14 17:46:25,2019-10-14 19:16:07,44.664809999999996,-106.87938700000001,Sheridan,WY,53.0,38.0,10.0,Cloudy
646318,A-646327,3,2019-11-11 08:53:23,2019-11-11 09:25:00,41.183632,-104.838036,Cheyenne,WY,11.0,67.0,10.0,Fair
713662,A-713671,3,2019-09-25 06:26:53,2019-09-25 07:58:00,41.135288,-104.70468100000001,Cheyenne,WY,46.0,71.0,10.0,Fair
742945,A-742954,4,2019-09-12 21:26:00,2019-09-12 23:23:07,41.394923999999996,-105.824165,Laramie,WY,43.0,62.0,10.0,Fair
796492,A-796501,4,2019-07-11 17:17:11,2019-07-11 21:15:57,41.724068,-106.459595,Hanna,WY,86.0,1.0,10.0,Fair
817211,A-817220,4,2019-07-23 17:53:21,2019-07-23 20:43:20,41.78434,-104.79190799999999,Chugwater,WY,90.0,29.0,10.0,Fair
927096,A-927105,2,2019-05-09 10:18:59,2019-05-09 11:40:45,44.156219,-108.869247,Meeteetse,WY,58.0,72.0,10.0,Cloudy
931159,A-931168,3,2019-05-12 09:53:57,2019-05-12 12:01:07,42.754814,-105.40743300000001,Douglas,WY,60.0,47.0,10.0,Fair
937775,A-937784,4,2019-05-15 06:14:28,2019-05-15 08:27:58,41.260365,-110.98636599999999,Evanston,WY,47.0,50.0,10.0,Fair
1017748,A-1017760,2,2019-04-23 04:45:34,2019-04-23 05:30:00,43.761757,-105.47599,Gillette,WY,39.0,82.0,10.0,Fair
1102331,A-1102344,3,2019-02-06 03:43:17,2019-02-06 04:15:00,41.754181,-106.96131100000001,Rawlins,WY,19.4,100.0,1.8,Light Snow
1107559,A-1107573,3,2019-02-08 08:30:49,2019-02-08 09:02:00,41.745857,-107.611824,Wamsutter,WY,12.0,56.0,10.0,Fair
1126315,A-1126329,3,2019-02-18 12:04:55,2019-02-18 13:04:23,41.033844,-104.897545,Cheyenne,WY,6.3,80.0,7.0,Light Snow Showers
1169470,A-1169484,2,2019-01-14 03:05:29,2019-01-14 03:37:00,41.824581,-110.825363,Cokeville,WY,1.4,78.0,10.0,Clear
1174876,A-1174890,3,2019-01-16 08:38:56,2019-01-16 09:07:32,41.260738,-110.985046,Evanston,WY,23.0,88.0,8.0,Light Snow
1174877,A-1174891,3,2019-01-16 08:37:50,2019-01-16 09:09:00,41.532833000000004,-109.373154,Green River,WY,11.0,88.0,1.0,Light Snow
1183637,A-1183651,3,2019-01-21 05:21:41,2019-01-21 05:53:00,41.238739,-105.437881,Laramie,WY,33.1,52.0,10.0,Clear
1183651,A-1183665,4,2019-01-21 16:15:23,2019-01-21 17:04:19,41.645432,-108.576324,Rock Springs,WY,26.1,81.0,10.0,Overcast
1189096,A-1189110,2,2019-01-23 02:51:08,2019-01-23 03:22:00,41.728328999999995,-107.72845500000001,Wamsutter,WY,14.0,67.0,9.0,Light Snow / Windy
1191940,A-1191954,2,2019-01-24 04:04:24,2019-01-24 04:35:00,43.432388,-110.78215800000001,Jackson,WY,24.8,86.0,1.8,Light Snow
1192028,A-1192042,3,2019-01-24 05:17:00,2019-01-24 05:48:00,41.343792,-110.39466100000001,Fort Bridger,WY,26.6,82.0,10.0,Overcast
1195743,A-1195757,3,2019-01-26 04:19:05,2019-01-26 04:48:31,41.740742,-106.824753,Hanna,WY,21.2,74.0,1.2,Overcast
1195744,A-1195758,3,2019-01-26 04:19:05,2019-01-26 04:48:31,41.742249,-106.83483100000001,Hanna,WY,21.2,74.0,1.2,Overcast
1196334,A-1196348,3,2019-01-27 03:38:57,2019-01-27 04:08:30,41.599339,-106.20983899999999,Rock River,WY,28.0,69.0,7.0,Partly Cloudy / Windy
1201283,A-1201297,2,2019-01-29 07:41:21,2019-01-29 08:13:00,44.879940000000005,-107.261436,Ranchester,WY,18.0,68.0,10.0,Partly Cloudy
1225328,A-1225343,2,2018-12-11 08:31:48,2018-12-11 09:03:00,41.111354999999996,-106.01333600000001,Laramie,WY,28.9,56.0,10.0,Clear
1249439,A-1249454,3,2018-12-26 08:56:01,2018-12-26 09:23:38,44.279575,-105.494247,Gillette,WY,26.1,88.0,1.0,Light Snow
1249479,A-1249494,3,2018-12-26 05:34:17,2018-12-26 05:55:59,41.63353,-108.379539,Rock Springs,WY,23.0,96.0,1.5,Light Snow
1254430,A-1254445,4,2018-12-29 10:43:08,2018-12-29 11:11:23,41.784973,-104.79171,Chugwater,WY,28.0,45.0,10.0,Fair
1267881,A-1267896,2,2018-11-05 07:18:02,2018-11-05 07:50:00,41.076446999999995,-106.089226,Laramie,WY,30.0,72.0,10.0,Overcast
1271252,A-1271267,3,2018-11-06 05:13:25,2018-11-06 05:45:00,42.85751,-106.297523,Casper,WY,28.9,89.0,10.0,Overcast
1271289,A-1271304,3,2018-11-06 08:10:14,2018-11-06 08:41:00,41.674431,-107.980484,Wamsutter,WY,27.0,69.0,10.0,Partly Cloudy / Windy
1271296,A-1271311,3,2018-11-06 05:53:29,2018-11-06 06:25:00,43.65538,-106.628716,Kaycee,WY,27.0,89.0,5.0,Light Snow
1274401,A-1274416,2,2018-11-07 07:05:31,2018-11-07 07:37:00,42.537861,-104.367226,Torrington,WY,25.0,85.0,10.0,Overcast
1311806,A-1311822,3,2018-11-25 01:22:49,2018-11-25 01:51:02,41.727722,-107.728264,Wamsutter,WY,21.0,88.0,10.0,Cloudy
1311807,A-1311823,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.690146999999996,-106.38295,Hanna,WY,21.2,80.0,10.0,Overcast
1311808,A-1311824,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.72258,-106.459625,Hanna,WY,21.2,80.0,10.0,Overcast
1311809,A-1311825,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.726116,-106.46392800000001,Hanna,WY,21.2,80.0,10.0,Overcast
1311810,A-1311826,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.740704,-106.825005,Hanna,WY,21.2,80.0,10.0,Overcast
1311811,A-1311827,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.742492999999996,-106.83123,Hanna,WY,21.2,80.0,10.0,Overcast
1311812,A-1311828,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.742691,-106.771225,Hanna,WY,21.2,80.0,10.0,Overcast
1311813,A-1311829,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.743320000000004,-106.77593200000001,Hanna,WY,21.2,80.0,10.0,Overcast
1311814,A-1311830,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.772079,-107.08586100000001,Rawlins,WY,21.0,88.0,10.0,Overcast
1311815,A-1311831,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.772533,-107.078979,Rawlins,WY,21.0,88.0,10.0,Overcast
1311816,A-1311832,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.780457,-107.12968400000001,Sinclair,WY,21.0,88.0,10.0,Overcast
1311817,A-1311833,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.781303,-107.12696799999999,Sinclair,WY,21.0,88.0,10.0,Overcast
1311818,A-1311834,3,2018-11-25 01:22:49,2018-11-25 03:10:12,41.777332,-107.223801,Rawlins,WY,21.0,88.0,10.0,Overcast
1311819,A-1311835,3,2018-11-25 01:22:49,2018-11-25 03:10:13,41.778576,-107.229767,Rawlins,WY,21.0,88.0,10.0,Overcast
1311820,A-1311836,3,2018-11-25 01:22:49,2018-11-25 03:10:09,41.788055,-107.193031,Rawlins,WY,21.0,88.0,10.0,Overcast
1311824,A-1311840,3,2018-11-25 01:22:49,2018-11-25 01:51:02,41.539471,-109.47858400000001,Green River,WY,18.0,92.0,10.0,Cloudy
1311825,A-1311841,3,2018-11-25 01:22:49,2018-11-25 01:51:02,41.554699,-109.5895,Green River,WY,18.0,92.0,10.0,Cloudy
1311826,A-1311842,3,2018-11-25 01:22:49,2018-11-25 01:51:02,41.561069,-109.54013799999998,Green River,WY,18.0,92.0,10.0,Cloudy
1311827,A-1311843,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.124481,-105.303917,Laramie,WY,19.0,85.0,10.0,Overcast
1311828,A-1311844,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.125473,-105.30508400000001,Laramie,WY,19.0,85.0,10.0,Overcast
1311829,A-1311845,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.267181,-110.93899499999999,Evanston,WY,19.9,85.0,10.0,Clear
1311830,A-1311846,3,2018-11-25 01:22:49,2018-11-25 02:51:02,41.100506,-105.059731,Cheyenne,WY,24.8,86.0,10.0,Light Snow
