ID,Severity,Time,Lat,Lng,City,State
A-515749,3,2019-12-28 19:21:27,35.219066999999995,-90.209091,Marion,AR
A-519654,3,2019-12-31 15:18:04,35.147789,-90.297913,Marion,AR
A-525572,3,2019-12-03 07:11:39,35.14864,-90.33560899999999,Crawfordsville,AR
A-533377,2,2019-12-06 08:06:25,35.137974,-90.09545899999999,West Memphis,AR
A-533514,3,2019-12-06 13:07:26,33.996223,-93.184502,Gurdon,AR
A-543259,2,2019-12-11 08:04:57,35.275604,-90.44986,Earle,AR
A-546131,2,2019-12-12 07:32:09,35.192130999999996,-90.18708000000001,Marion,AR
A-548885,2,2019-12-13 08:01:11,35.19376,-90.199722,Marion,AR
A-550148,2,2019-12-14 21:56:14,35.136459,-91.81444499999999,Mc Rae,AR
A-555906,2,2019-12-17 08:23:10,35.256981,-90.38229399999999,Crawfordsville,AR
A-558270,4,2019-12-18 18:36:24,34.778759,-92.203339,North Little Rock,AR
A-558561,3,2019-12-18 06:22:06,35.156628000000005,-90.128059,West Memphis,AR
A-558568,2,2019-12-18 06:43:09,35.193771000000005,-90.197884,Marion,AR
A-574859,2,2019-10-08 07:46:41,35.2113,-90.209503,Marion,AR
A-586721,2,2019-10-14 06:59:16,35.264179,-90.32618000000001,Crawfordsville,AR
A-591898,2,2019-10-16 07:42:51,34.886547,-92.107597,Jacksonville,AR
A-601572,2,2019-10-21 07:59:33,35.175652,-90.193611,Marion,AR
A-609587,4,2019-10-24 10:28:49,35.763577000000005,-94.191963,Winslow,AR
A-614274,3,2019-10-27 06:37:46,34.202595,-91.967438,Pine Bluff,AR
A-621502,2,2019-10-30 05:47:52,35.256981,-90.38229399999999,Crawfordsville,AR
A-635827,4,2019-11-06 02:19:00,34.618797,-92.498306,Bryant,AR
A-638982,2,2019-11-07 06:39:14,35.21397,-90.210899,Marion,AR
A-657871,2,2019-11-15 07:45:14,35.210789,-90.188629,Marion,AR
A-657872,2,2019-11-15 07:48:32,35.199841,-90.208107,Marion,AR
A-664583,4,2019-11-19 13:23:48,33.904121,-93.29604300000001,Okolona,AR
A-672877,4,2019-11-22 05:15:26,35.673325,-94.164772,Chester,AR
A-672997,2,2019-11-22 04:51:04,35.175831,-90.22421999999999,Marion,AR
A-679905,2,2019-11-26 06:06:20,35.210381,-90.209099,Marion,AR
A-682451,3,2019-11-27 07:56:56,35.135269,-90.086838,West Memphis,AR
A-688501,2,2019-09-30 07:38:03,35.193771000000005,-90.19191,Marion,AR
A-688504,2,2019-09-30 07:48:21,35.190319,-90.22225999999999,Marion,AR
A-693305,2,2019-10-02 08:07:59,35.17308,-90.184647,West Memphis,AR
A-695725,4,2019-10-03 15:16:46,34.810238,-92.357376,North Little Rock,AR
A-698408,2,2019-10-04 08:00:40,35.263359,-90.25496700000001,Crawfordsville,AR
A-699557,3,2019-10-05 02:31:37,34.777538,-92.242699,North Little Rock,AR
A-711053,4,2019-09-24 12:47:39,35.514851,-93.81796999999999,Ozark,AR
A-715411,2,2019-09-26 17:01:42,36.062698,-94.149757,Fayetteville,AR
A-721960,4,2019-09-02 07:09:12,34.786644,-92.281975,North Little Rock,AR
A-723955,3,2019-09-03 20:51:17,34.736149,-92.394875,Little Rock,AR
A-726084,3,2019-09-04 22:28:49,34.67942,-92.354927,Little Rock,AR
A-730929,3,2019-09-06 08:18:20,34.765972,-92.262077,North Little Rock,AR
A-740060,2,2019-09-11 06:46:40,35.175591,-90.18457,West Memphis,AR
A-742641,2,2019-09-12 05:29:46,35.179199,-90.200912,Marion,AR
A-742659,2,2019-09-12 15:28:02,35.806389,-90.615593,Jonesboro,AR
A-753189,3,2019-08-18 19:37:28,35.393066,-90.271675,Turrell,AR
A-757238,2,2019-08-20 05:20:18,35.176079,-90.255219,Marion,AR
A-767352,2,2019-08-26 06:42:08,34.907001,-90.29418199999999,Hughes,AR
A-769827,2,2019-08-27 07:32:54,35.20932,-90.205437,Marion,AR
A-771822,4,2019-08-28 10:22:48,34.74688,-92.371628,Little Rock,AR
A-781314,4,2019-07-02 09:31:45,34.559864000000005,-92.613617,Benton,AR
A-798445,2,2019-07-12 07:11:51,35.10516,-90.293442,Proctor,AR
A-804106,2,2019-07-16 09:15:18,35.069038,-91.924316,Beebe,AR
A-819134,4,2019-07-24 19:34:04,36.193290999999995,-94.179955,Springdale,AR
A-827149,2,2019-07-29 07:28:16,35.160095,-90.226158,Marion,AR
A-829122,2,2019-07-30 04:14:47,35.24992,-90.374374,Crawfordsville,AR
