ID,Severity,Time,Lat,Lng,City,State
A-538293,3,2019-12-09 18:12:41,43.597076,-116.295479,Boise,ID
A-583063,3,2019-10-11 21:09:33,47.575344,-116.44207,Cataldo,ID
A-619101,4,2019-10-29 10:24:00,42.959869,-115.29079399999999,Glenns Ferry,ID
A-621834,4,2019-10-30 01:28:45,42.240898,-113.089607,Malta,ID
A-631165,4,2019-11-04 09:09:05,43.618275,-116.23818999999999,Boise,ID
A-658284,2,2019-11-15 11:39:30,42.983318,-116.097191,Grand View,ID
A-658285,3,2019-11-15 18:47:50,43.662471999999994,-116.66023999999999,Caldwell,ID
A-680284,3,2019-11-26 00:28:20,47.62397,-116.650993,Coeur D Alene,ID
A-682750,3,2019-11-27 12:45:00,43.830441,-112.194824,Hamer,ID
A-718089,3,2019-09-27 16:05:08,47.700069,-116.80821200000001,Coeur D Alene,ID
A-731654,2,2019-09-06 06:02:40,45.677349,-116.30918899999999,White Bird,ID
A-746225,3,2019-09-14 13:11:07,43.021957,-112.40810400000001,Firth,ID
A-772355,3,2019-08-28 17:04:02,43.173702,-115.748589,Mountain Home,ID
A-777355,3,2019-08-30 12:18:30,42.799355,-112.266327,Pocatello,ID
A-806758,2,2019-07-17 15:27:25,43.026241,-115.786423,Mountain Home,ID
A-806938,2,2019-07-17 06:07:00,47.903702,-116.70833600000002,Athol,ID
A-819652,2,2019-07-24 06:44:48,47.688179,-116.78215,Coeur D Alene,ID
A-848448,2,2019-08-09 13:31:29,46.357620000000004,-116.767723,Culdesac,ID
A-915831,2,2019-05-31 16:44:40,45.677349,-116.30918899999999,White Bird,ID
A-917481,2,2019-05-04 12:39:42,43.661190000000005,-116.63060800000001,Caldwell,ID
A-1117386,3,2019-02-13 15:11:25,43.679768,-116.688759,Caldwell,ID
A-1133778,3,2019-02-21 04:01:09,43.924782,-112.21204399999999,Hamer,ID
A-1149775,3,2019-01-03 01:51:40,43.021622,-112.408119,Firth,ID
A-1161206,2,2019-01-09 05:15:17,47.744476,-116.791977,Hayden,ID
A-1172246,2,2019-01-15 07:58:12,47.175911,-116.49533100000001,Saint Maries,ID
A-1203880,2,2019-01-30 09:30:44,43.66135,-116.659241,Caldwell,ID
A-1225271,3,2018-12-11 00:58:34,42.640896000000005,-114.445877,Jerome,ID
A-1238456,3,2018-12-18 01:47:24,43.597569,-116.290756,Boise,ID
A-1245156,4,2018-12-21 21:03:38,43.598971999999996,-116.553192,Nampa,ID
A-1280695,2,2018-11-09 08:51:24,42.724041,-114.482475,Jerome,ID
A-1290971,2,2018-11-14 05:59:24,47.337132000000004,-116.668793,Saint Maries,ID
A-1314397,2,2018-11-26 17:30:14,45.677425,-116.30918100000001,White Bird,ID
A-1329953,3,2018-10-03 07:41:46,43.542072,-116.160866,Boise,ID
A-1329954,3,2018-10-03 08:14:03,43.46328,-116.09193400000001,Boise,ID
A-1332752,3,2018-10-04 14:53:29,42.891407,-112.447708,Pocatello,ID
A-1345993,2,2018-10-10 08:21:34,46.54958,-116.9394,Genesee,ID
A-1348816,3,2018-10-12 02:50:39,43.419342,-116.03626299999999,Boise,ID
A-1356119,3,2018-10-16 06:32:13,43.59626,-116.35491200000001,Meridian,ID
A-1408652,2,2018-09-10 06:20:06,47.83189,-116.777809,Rathdrum,ID
A-1411491,3,2018-09-11 18:18:06,43.599457,-116.514046,Nampa,ID
A-1425849,2,2018-09-18 16:46:37,45.677425,-116.30918100000001,White Bird,ID
A-1433632,2,2018-09-21 00:01:23,46.517979,-116.94928700000001,Genesee,ID
A-1451713,2,2018-07-31 07:10:55,47.575089,-116.782524,Harrison,ID
A-1477305,2,2018-08-13 06:05:40,48.028252,-116.64605700000001,Athol,ID
A-1477306,3,2018-08-13 01:04:27,43.61858,-116.233658,Boise,ID
A-1505025,3,2018-08-27 08:12:14,47.574718,-116.442299,Cataldo,ID
A-1532680,3,2018-07-11 00:39:20,42.89143,-112.45131699999999,Pocatello,ID
A-1546998,3,2018-07-19 08:13:58,43.597384999999996,-116.33345800000001,Boise,ID
A-1562494,3,2018-07-27 16:14:27,42.515696999999996,-113.422173,Malta,ID
A-1562591,3,2018-07-27 16:06:06,47.699917,-116.80778500000001,Coeur D Alene,ID
A-1575073,2,2018-06-04 07:42:57,44.339401,-116.89061000000001,Weiser,ID
A-1600248,2,2018-06-17 09:51:21,43.50692,-116.443459,Kuna,ID
A-1600249,2,2018-06-17 10:57:13,43.587643,-116.39843,Meridian,ID
A-1604595,2,2018-06-19 09:19:31,43.038494,-112.808609,Aberdeen,ID
A-1609173,2,2018-06-21 06:38:25,43.811684,-116.267723,Garden City,ID
