ID,Severity,Time,Lat,Lng,City,State
A-516790,3,2019-12-30 17:54:38,42.965336,-72.521439,Putney,VT
A-523952,2,2019-12-03 07:50:08,43.017609,-72.526062,Putney,VT
A-531647,2,2019-12-06 10:53:12,43.05431,-72.665024,Townshend,VT
A-547085,3,2019-12-13 16:09:31,43.266518,-72.432625,Springfield,VT
A-554046,3,2019-12-17 04:49:19,44.383461,-72.93109100000001,Richmond,VT
A-556813,3,2019-12-18 08:46:43,42.853737,-72.580353,Brattleboro,VT
A-559464,3,2019-12-19 16:09:31,44.793896000000004,-73.069702,Saint Albans,VT
A-561984,2,2019-12-20 08:37:53,44.576828000000006,-72.594658,Morrisville,VT
A-561989,2,2019-12-20 10:36:42,44.699203000000004,-73.106026,Fairfax,VT
A-568373,2,2019-12-24 17:36:49,44.136520000000004,-72.65975999999999,Northfield,VT
A-570620,3,2019-10-07 12:54:01,43.403362,-72.414314,Windsor,VT
A-570625,3,2019-10-07 19:43:20,44.424225,-73.009125,Richmond,VT
A-599823,2,2019-10-21 17:24:39,43.222569,-72.794701,Londonderry,VT
A-607952,3,2019-10-24 16:54:32,44.439285,-73.114403,Williston,VT
A-614584,2,2019-10-28 10:15:01,42.765331,-72.90892,Whitingham,VT
A-622326,3,2019-10-31 06:15:28,43.527809000000005,-72.401237,Windsor,VT
A-637117,2,2019-11-07 12:40:14,44.589031,-72.60462199999999,Hyde Park,VT
A-639959,2,2019-11-08 04:03:52,44.624889,-72.922478,Underhill,VT
A-639965,2,2019-11-08 12:41:33,44.846581,-72.01915,West Charleston,VT
A-644310,3,2019-11-11 16:08:58,44.505795,-73.181725,Colchester,VT
A-644316,3,2019-11-11 18:08:47,44.492022999999996,-73.173035,Winooski,VT
A-646853,3,2019-11-12 13:20:54,44.250984,-72.596222,Montpelier,VT
A-646854,2,2019-11-12 13:50:31,43.26355,-72.633812,Chester,VT
A-649991,3,2019-11-13 20:47:14,44.470024,-73.184044,South Burlington,VT
A-652843,3,2019-11-14 04:04:44,44.470024,-73.184044,South Burlington,VT
A-670981,2,2019-11-22 07:38:53,43.003269,-72.541733,Putney,VT
A-686958,4,2019-09-30 04:01:49,44.590214,-73.17012,Colchester,VT
A-689309,4,2019-10-01 05:17:29,44.590214,-73.17012,Colchester,VT
A-696799,2,2019-10-04 06:20:02,42.894989,-72.976669,Wilmington,VT
A-700068,2,2019-09-18 04:18:09,44.508953000000005,-73.055145,Essex Junction,VT
A-700094,3,2019-09-19 18:14:22,44.492022999999996,-73.173035,Winooski,VT
A-709300,3,2019-09-24 07:27:14,44.699203000000004,-73.106026,Fairfax,VT
A-711790,3,2019-09-25 17:07:58,44.29826,-72.684853,Montpelier,VT
A-714282,2,2019-09-26 11:39:25,43.02557,-72.656532,Townshend,VT
A-714290,3,2019-09-26 16:47:44,43.403362,-72.414314,Windsor,VT
A-722619,3,2019-09-03 09:30:02,44.505795,-73.181725,Colchester,VT
A-727258,3,2019-09-05 10:08:42,43.527138,-72.402229,Windsor,VT
A-727260,3,2019-09-05 11:24:02,43.527138,-72.402229,Windsor,VT
A-727267,3,2019-09-05 16:12:32,43.527138,-72.402229,Windsor,VT
A-729701,3,2019-09-06 17:55:23,44.447369,-73.208511,South Burlington,VT
A-736041,3,2019-09-10 11:26:03,43.639477,-72.338394,White River Junction,VT
A-736043,3,2019-09-10 16:16:38,43.639477,-72.338394,White River Junction,VT
A-743526,2,2019-09-13 16:39:27,44.452076,-73.182449,South Burlington,VT
A-749666,2,2019-09-17 10:06:41,44.650909000000006,-72.758682,Jeffersonville,VT
A-755709,2,2019-08-20 16:14:56,43.183448999999996,-72.45294200000001,Bellows Falls,VT
A-755710,3,2019-08-20 16:38:29,44.491631,-73.173035,Winooski,VT
A-755711,3,2019-08-20 16:56:16,44.490359999999995,-73.173317,Winooski,VT
A-760409,3,2019-08-22 07:11:00,44.21965,-72.4916,Barre,VT
A-760423,2,2019-08-22 16:23:15,42.976131,-72.657478,Newfane,VT
A-762832,2,2019-08-23 17:09:29,44.439285,-73.114403,Williston,VT
A-775509,3,2019-08-30 17:20:13,42.964001,-72.525177,Putney,VT
A-782293,3,2019-07-03 07:03:05,44.91494,-72.348511,Newport Center,VT
A-794961,2,2019-07-11 16:13:15,44.435759999999995,-72.711578,Stowe,VT
A-805140,3,2019-07-17 08:23:26,43.785216999999996,-72.452332,Sharon,VT
A-805143,4,2019-07-17 14:53:40,44.590214,-73.17012,Colchester,VT
A-805149,4,2019-07-17 18:37:22,44.590202000000005,-73.17041800000001,Colchester,VT
A-842245,3,2019-08-07 13:55:32,44.21714,-72.585999,Berlin,VT
A-860039,2,2019-08-16 04:33:20,44.619789000000004,-73.124443,Milton,VT
A-867670,3,2019-06-05 21:09:05,44.922058,-73.108566,Swanton,VT
A-869314,3,2019-06-06 04:05:15,44.922058,-73.108566,Swanton,VT
A-903922,3,2019-06-25 11:54:37,44.439285,-73.114403,Williston,VT
A-903927,3,2019-06-25 16:00:31,43.785216999999996,-72.452332,Sharon,VT
A-925388,3,2019-05-09 10:00:02,43.541004,-72.957901,North Clarendon,VT
A-945222,3,2019-05-20 19:33:14,44.505795,-73.181725,Colchester,VT
A-989585,3,2019-04-09 13:37:38,44.924240000000005,-73.108414,Swanton,VT
A-1003382,2,2019-04-16 13:45:48,42.919579,-73.240891,North Bennington,VT
A-1015937,2,2019-04-23 16:01:37,43.803619,-73.305061,Orwell,VT
A-1029080,3,2019-04-01 17:31:41,44.507,-73.18441800000001,Colchester,VT
A-1032106,2,2019-03-04 10:22:35,43.181862,-72.785004,South Londonderry,VT
A-1036811,3,2019-03-06 08:42:38,44.505913,-73.182243,Colchester,VT
A-1036813,3,2019-03-06 08:52:23,42.965462,-72.519203,Putney,VT
A-1066451,2,2019-03-22 07:18:20,43.655429999999996,-72.886169,Rutland,VT
A-1066452,2,2019-03-22 07:30:21,43.651649,-72.92128000000001,Rutland,VT
A-1066454,2,2019-03-22 07:37:50,43.078171000000005,-72.704514,Townshend,VT
A-1074693,2,2019-03-27 10:41:21,42.865608,-72.86331899999999,Wilmington,VT
A-1082879,2,2019-02-28 08:12:17,42.807097999999996,-72.61573,Guilford,VT
A-1088297,2,2019-01-31 09:22:44,42.869991,-72.90529599999999,Wilmington,VT
A-1100416,2,2019-02-06 18:14:33,44.4688,-73.16999799999999,South Burlington,VT
A-1112390,3,2019-02-12 17:12:41,43.991501,-73.14031999999999,Middlebury,VT
A-1115326,3,2019-02-13 16:03:08,44.343063,-72.752739,Waterbury,VT
A-1120787,3,2019-02-15 09:19:02,42.85751,-72.780502,Brattleboro,VT
A-1124781,2,2019-02-18 13:43:52,42.889431,-72.952087,Wilmington,VT
A-1124784,2,2019-02-18 18:08:55,42.868511,-72.871178,Wilmington,VT
A-1131917,2,2019-02-21 22:15:44,44.933739,-72.20755,Newport,VT
A-1134462,3,2019-02-22 16:24:05,44.452296999999994,-73.181229,South Burlington,VT
