ID,Severity,Time,Lat,Lng,City,State
A-203,3,2016-02-16 13:46:09,38.455898,-81.93562299999999,Hurricane,WV
A-364,2,2016-02-24 07:18:41,38.581139,-82.00456199999999,Fraziers Bottom,WV
A-231241,2,2016-12-15 12:54:33,39.454665999999996,-77.969711,Martinsburg,WV
A-232367,2,2016-12-22 07:00:32,39.588326,-77.89666700000001,Falling Waters,WV
A-233642,2,2016-12-30 20:05:33,39.544167,-77.90615799999999,Martinsburg,WV
A-233895,3,2017-01-03 10:19:05,39.496475,-77.95945,Martinsburg,WV
A-236964,3,2017-01-23 13:38:28,39.671532,-79.85096,Morgantown,WV
A-238771,2,2016-10-27 09:14:29,39.399536,-78.001114,Martinsburg,WV
A-244516,2,2016-11-29 08:29:36,39.581787,-77.847092,Falling Waters,WV
A-244591,2,2016-11-29 10:27:08,39.560223,-77.956177,Hedgesville,WV
A-245017,3,2016-11-30 12:41:15,39.580078,-77.87606,Falling Waters,WV
A-247039,3,2016-09-24 15:53:12,39.406822,-78.024315,Inwood,WV
A-251427,3,2016-08-02 15:45:50,39.362595,-78.048294,Inwood,WV
A-251429,2,2016-08-02 16:18:13,39.435101,-80.173813,Fairmont,WV
A-252374,3,2016-08-10 18:43:28,39.547451,-77.910706,Falling Waters,WV
A-252383,3,2016-08-10 19:54:50,39.545929,-77.911552,Falling Waters,WV
A-255321,2,2016-09-01 14:08:47,39.435101,-80.173813,Fairmont,WV
A-256557,2,2016-06-21 18:06:22,39.539959,-77.908539,Martinsburg,WV
A-257818,2,2016-07-02 17:23:26,39.280884,-80.278015,Bridgeport,WV
A-260413,2,2016-07-27 13:35:13,39.462231,-77.928993,Martinsburg,WV
A-260583,2,2016-07-28 13:28:00,39.441784000000006,-77.982033,Martinsburg,WV
A-329456,2,2017-01-30 06:54:39,39.443169,-77.987022,Martinsburg,WV
A-329540,3,2017-01-30 10:04:36,39.226051,-80.296936,Bridgeport,WV
A-329541,3,2017-01-30 10:03:53,39.578590000000005,-79.976021,Morgantown,WV
A-329543,3,2017-01-30 10:15:29,39.654804,-79.63797,Bruceton Mills,WV
A-331455,3,2017-02-11 01:53:57,39.337897999999996,-80.222572,Bridgeport,WV
A-380713,2,2017-03-06 15:16:13,39.435101,-80.173813,Fairmont,WV
A-423987,3,2017-05-04 21:55:46,38.455898,-81.93562299999999,Hurricane,WV
A-448219,3,2017-05-21 03:49:34,38.667583,-81.64960500000001,Ripley,WV
A-449322,3,2017-05-17 17:58:39,39.578590000000005,-79.976021,Morgantown,WV
A-479716,3,2017-07-01 06:01:03,38.923621999999995,-81.720253,Ravenswood,WV
A-481744,3,2017-06-18 04:30:35,39.6465,-79.894722,Morgantown,WV
A-483227,2,2017-06-30 07:10:45,39.234856,-77.899734,Charles Town,WV
