ID,Severity,Time,Lat,Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Weather_Condition
A-88,3,2/11/2016 5:32,41.422199,-81.843018,Cleveland,OH,14,56,9,11.5,Snow
A-92,3,2/11/2016 6:29,41.420818,-81.694008,Cleveland,OH,17.1,59,10,21.9,Overcast
A-97,3,2/11/2016 7:29,41.355396,-81.819267,Cleveland,OH,15.1,51,10,18.4,Overcast
A-151,2,2/15/2016 7:37,41.410461,-81.725853,Cleveland,OH,21,85,4,11.5,Snow
A-236,2,2/18/2016 6:27,41.414131,-81.632141,Cleveland,OH,19,71,10,5.8,Clear
A-240,3,2/18/2016 7:49,41.42181,-81.734482,Cleveland,OH,12.9,88,8,3.5,Clear
A-241,3,2/18/2016 7:55,41.422199,-81.843018,Cleveland,OH,12.9,88,8,3.5,Clear
A-249,3,2/18/2016 8:22,41.420666,-81.816444,Cleveland,OH,16,81,10,6.9,Clear
A-252,3,2/18/2016 8:39,41.371895,-81.820786,Cleveland,OH,16,81,10,6.9,Clear
A-256,2,2/18/2016 9:03,41.423275,-81.76001,Cleveland,OH,16,81,10,6.9,Clear
A-258,3,2/18/2016 9:22,41.36974,-81.821457,Cleveland,OH,21.9,63,10,8.1,Clear
A-259,3,2/18/2016 9:26,41.420506,-81.816078,Cleveland,OH,21.9,63,10,8.1,Clear
A-360,3,2/24/2016 6:50,41.420975,-81.689758,Cleveland,OH,33.8,100,2.5,15,Rain
A-510,3,3/7/2016 7:27,41.420975,-81.689758,Cleveland,OH,46.9,56,10,21.9,Clear
A-533,3,3/8/2016 7:46,41.36795,-81.821655,Cleveland,OH,53.1,50,10,10.4,Overcast
A-603,2,3/11/2016 7:46,41.420448,-81.828468,Cleveland,OH,37,89,10,12.7,Overcast
A-220965,3,6/21/2016 20:22,41.420582,-81.780304,Cleveland,OH,77,39,10,11.5,Overcast
A-220975,3,6/22/2016 9:14,41.371895,-81.820786,Cleveland,OH,70,51,10,6.9,Overcast
A-221062,3,6/27/2016 9:35,41.417164,-81.594551,Cleveland,OH,79,69,10,6.9,Clear
A-221076,3,6/27/2016 15:39,41.420582,-81.780304,Cleveland,OH,91,23,10,15,Overcast
A-221079,3,6/27/2016 17:39,41.420506,-81.816078,Cleveland,OH,91,28,10,12.7,Overcast
A-221101,2,6/28/2016 14:20,41.422482,-81.685043,Cleveland,OH,72,64,10,8.1,Overcast
A-221176,3,7/1/2016 7:07,41.369209,-81.82135,Cleveland,OH,68,59,10,11.5,Rain
A-221381,3,7/12/2016 8:26,41.411377,-81.615723,Cleveland,OH,82,51,10,6.9,Clear
A-221384,3,7/12/2016 8:38,41.425926,-81.761238,Cleveland,OH,80.1,54,10,8.1,Clear
A-221416,3,7/13/2016 7:44,41.411377,-81.615723,Cleveland,OH,79,74,10,16.1,Overcast
A-221482,2,7/15/2016 7:46,41.371895,-81.820786,Cleveland,OH,73.9,71,10,9.2,Overcast
A-221492,3,7/15/2016 12:57,41.420506,-81.816078,Cleveland,OH,82.9,41,10,17.3,Overcast
A-221525,3,7/18/2016 16:18,41.425926,-81.761238,Cleveland,OH,84.9,53,10,12.7,Overcast
A-221741,3,7/27/2016 17:11,41.420578,-81.801674,Cleveland,OH,89.1,34,10,12.7,Overcast
A-221781,3,7/28/2016 18:05,41.371895,-81.820786,Cleveland,OH,82.9,49,10,9.2,Overcast
A-221807,3,7/29/2016 14:57,41.355396,-81.819267,Cleveland,OH,75.9,74,10,9.2,Overcast
A-221847,3,8/1/2016 17:27,41.421894,-81.726318,Cleveland,OH,84,49,10,6.9,Overcast
A-221972,3,12/2/2016 18:56,41.420506,-81.816078,Cleveland,OH,39,79,10,8.1,Overcast
A-222005,3,12/5/2016 17:46,41.420975,-81.689758,Cleveland,OH,36,70,10,6.9,Overcast
A-222012,3,12/5/2016 18:45,41.411377,-81.615723,Cleveland,OH,37,67,10,5.8,Overcast
A-222089,2,12/7/2016 7:21,41.42511,-81.828102,Cleveland,OH,30.9,72,10,11.5,Overcast
A-222120,3,12/7/2016 17:22,41.422199,-81.843018,Cleveland,OH,35.1,57,10,6.9,Overcast
A-222170,3,12/8/2016 18:18,41.415043,-81.597237,Cleveland,OH,27,72,3,25.3,Snow
A-222243,3,12/12/2016 14:49,41.420506,-81.816078,Cleveland,OH,35.6,65,10,20.7,Overcast
A-222260,3,12/12/2016 22:49,41.424744,-81.564804,Cleveland,OH,30,69,10,15,Overcast
A-222384,3,12/15/2016 6:26,41.425926,-81.761238,Cleveland,OH,10.9,77,0.2,13.8,Snow
A-222400,2,12/15/2016 8:48,41.418617,-81.81916,Cleveland,OH,10,76,2,13.8,Snow
A-222458,3,12/16/2016 11:10,41.423569,-81.581306,Cleveland,OH,16,62,10,10.4,Overcast
A-222468,3,12/16/2016 18:07,41.420506,-81.816078,Cleveland,OH,19,43,10,11.5,Overcast
A-222518,3,12/19/2016 16:38,41.422112,-81.734169,Cleveland,OH,21.9,66,10,10.4,Overcast
A-222557,3,12/20/2016 10:00,41.411377,-81.615723,Cleveland,OH,23,74,8,13.8,Clear
A-222614,2,12/21/2016 10:40,41.418633,-81.734436,Cleveland,OH,32,61,10,10.4,Overcast
A-222732,3,12/28/2016 10:38,41.420448,-81.828468,Cleveland,OH,33.1,61,10,6.9,Overcast
A-222740,3,12/28/2016 17:58,41.414139,-81.60231,Cleveland,OH,37.9,53,10,8.1,Clear
A-222762,3,12/29/2016 21:16,41.420448,-81.828468,Cleveland,OH,33.1,82,7,17.3,Snow
A-222767,2,12/30/2016 5:39,41.371895,-81.820786,Cleveland,OH,30.2,75,9,12.7,Overcast
A-222895,3,1/5/2017 7:37,41.42181,-81.734482,Cleveland,OH,19,65,2,12.7,Snow
A-222925,3,1/5/2017 11:38,41.371895,-81.820786,Cleveland,OH,21,71,1.8,9.2,Snow
A-223030,3,1/6/2017 17:25,41.42181,-81.734482,Cleveland,OH,12.9,62,10,8.1,Overcast
A-223045,3,1/9/2017 7:04,41.411377,-81.615723,Cleveland,OH,16,62,10,13.8,Overcast
A-223079,3,1/10/2017 6:06,41.371895,-81.820786,Cleveland,OH,33.1,61,9,15,Snow
A-223094,3,1/10/2017 7:46,41.420506,-81.816078,Cleveland,OH,33.1,72,6,21.9,Freezing Rain
A-223097,2,1/10/2017 7:58,41.422199,-81.843018,Cleveland,OH,33.1,72,6,21.9,Freezing Rain
A-223102,3,1/10/2017 9:31,41.423565,-81.582146,Cleveland,OH,33.1,82,7,25.3,Snow
A-223116,3,1/10/2017 18:13,41.371895,-81.820786,Cleveland,OH,46,73,10,23,Overcast
A-223130,2,1/11/2017 5:50,41.393555,-81.626648,Cleveland,OH,36,70,10,16.1,Clear
A-223211,2,1/12/2017 6:29,41.425926,-81.761238,Cleveland,OH,57.9,87,4,8.1,Rain
A-223225,3,1/12/2017 8:12,41.420975,-81.689758,Cleveland,OH,37.9,93,0.2,6.9,Rain
A-223267,3,1/13/2017 7:19,41.422199,-81.843018,Cleveland,OH,28.9,67,10,8.1,Overcast
A-223433,3,1/18/2017 17:36,41.420448,-81.828468,Cleveland,OH,39.2,87,3,8.1,Overcast
A-223505,3,1/23/2017 7:19,41.420612,-81.818871,Cleveland,OH,39.9,89,0.5,12.7,Rain
A-223661,3,1/26/2017 8:47,41.420975,-81.689758,Cleveland,OH,37,82,7,18.4,Rain
A-223732,3,10/21/2016 15:02,41.420582,-81.780304,Cleveland,OH,54,77,10,13.8,Rain
A-223752,3,10/24/2016 5:06,41.425926,-81.761238,Cleveland,OH,55,69,10,12.7,Overcast
A-223805,3,10/25/2016 7:37,41.416882,-81.593895,Cleveland,OH,48,63,10,9.2,Overcast
A-223825,3,10/25/2016 14:46,41.420506,-81.816078,Cleveland,OH,53.1,47,10,12.7,Overcast
A-223834,3,10/26/2016 6:00,41.411377,-81.615723,Cleveland,OH,43,71,10,8.1,Clear
A-223841,3,10/26/2016 7:34,41.371895,-81.820786,Cleveland,OH,42.1,67,10,6.9,Overcast
A-223914,3,10/31/2016 7:22,41.388729,-81.816673,Cleveland,OH,39,82,10,5.8,Overcast
A-223922,3,10/31/2016 7:56,41.425926,-81.761238,Cleveland,OH,39,82,10,5.8,Overcast
A-223986,3,11/1/2016 16:27,41.371895,-81.820786,Cleveland,OH,78.1,46,10,12.7,Overcast
A-224022,3,11/2/2016 17:20,41.421932,-81.727524,Cleveland,OH,75.9,46,10,15,Overcast
A-224025,3,11/2/2016 17:54,41.42181,-81.734482,Cleveland,OH,73.9,48,10,8.1,Overcast
A-224031,3,11/3/2016 4:08,41.420578,-81.801674,Cleveland,OH,64,84,10,9.2,Overcast
A-224064,3,11/3/2016 17:22,41.420975,-81.689758,Cleveland,OH,57,77,10,10.4,Overcast
A-224080,2,11/4/2016 7:20,41.428192,-81.589706,Cleveland,OH,52,71,10,12.7,Overcast
A-224119,3,11/5/2016 13:41,41.421535,-81.70993,Cleveland,OH,61,62,10,11.5,Clear
A-224178,3,11/8/2016 6:10,41.422199,-81.843018,Cleveland,OH,51.1,59,10,6.9,Overcast
A-224179,3,11/8/2016 6:10,41.420448,-81.828468,Cleveland,OH,51.1,59,10,6.9,Overcast
A-224333,3,11/14/2016 8:31,41.420284,-81.792213,Cleveland,OH,43,47,10,10.4,Clear
A-224441,3,11/17/2016 8:41,41.422199,-81.843018,Cleveland,OH,45,82,3,6.9,Haze
A-224652,3,11/24/2016 11:50,41.421535,-81.70993,Cleveland,OH,48,89,6,13.8,Overcast
A-224655,3,11/24/2016 12:20,41.421535,-81.70993,Cleveland,OH,48,89,6,16.1,Overcast
A-224761,2,11/29/2016 7:30,41.418419,-81.780785,Cleveland,OH,53.1,77,10,10.4,Overcast
A-224860,3,11/30/2016 14:33,41.420448,-81.828468,Cleveland,OH,62.1,67,10,15,Overcast
A-224878,3,9/12/2016 8:12,41.411377,-81.615723,Cleveland,OH,59,75,10,11.5,Clear
A-224920,3,9/13/2016 13:18,41.417164,-81.594551,Cleveland,OH,78.1,56,10,11.5,Clear
A-224936,3,9/13/2016 18:05,41.420578,-81.80204,Cleveland,OH,81,39,10,10.4,Overcast
A-225003,3,9/16/2016 7:06,41.422199,-81.843018,Cleveland,OH,55,83,10,3.5,Clear
A-225042,3,9/16/2016 21:00,41.371895,-81.820786,Cleveland,OH,75,66,10,8.1,Overcast
A-225092,3,9/19/2016 15:48,41.420506,-81.816078,Cleveland,OH,82,47,10,3.5,Overcast
A-225121,3,9/20/2016 9:08,41.411377,-81.615723,Cleveland,OH,71.1,68,8,4.6,Clear
A-225218,3,9/22/2016 18:24,41.420582,-81.780304,Cleveland,OH,81,50,10,5.8,Overcast
A-225413,3,9/29/2016 7:31,41.425217,-81.819588,Cleveland,OH,59,87,10,3.5,Overcast
A-225414,3,9/29/2016 7:30,41.411377,-81.615723,Cleveland,OH,62.1,90,8,6.9,Rain
A-225545,3,9/30/2016 18:49,41.42181,-81.734482,Cleveland,OH,62.1,84,10,11.5,Overcast
A-225599,2,10/4/2016 6:49,41.420975,-81.689758,Cleveland,OH,57,89,10,11.5,Clear
A-225652,3,10/5/2016 17:50,41.420506,-81.816078,Cleveland,OH,75.9,48,10,13.8,Overcast
A-225682,3,10/7/2016 9:58,41.422199,-81.843018,Cleveland,OH,64.9,68,10,6.9,Clear
A-225800,3,10/13/2016 7:20,41.421535,-81.70993,Cleveland,OH,55.9,77,10,17.3,Overcast
A-225806,3,10/13/2016 7:52,41.422199,-81.843018,Cleveland,OH,55,77,10,11.5,Overcast
A-225873,3,10/15/2016 9:41,41.420506,-81.816078,Cleveland,OH,60.1,62,10,9.2,Overcast
A-225911,3,10/17/2016 17:44,41.421535,-81.70993,Cleveland,OH,81,49,10,16.1,Overcast
A-225948,3,10/18/2016 20:30,41.420578,-81.801674,Cleveland,OH,72,81,4,12.7,Rain
A-225982,3,10/19/2016 18:58,41.42181,-81.734482,Cleveland,OH,64.9,63,10,6.9,Overcast
A-226067,3,8/3/2016 8:01,41.420975,-81.689758,Cleveland,OH,75.9,52,10,3.5,Clear
A-226099,3,8/4/2016 18:04,41.420506,-81.816078,Cleveland,OH,89.1,42,10,8.1,Overcast
A-226203,3,8/9/2016 11:19,41.422199,-81.843018,Cleveland,OH,82.9,53,10,6.9,Overcast
A-226240,3,8/10/2016 13:20,41.371895,-81.820786,Cleveland,OH,90,55,10,6.9,Overcast
A-226247,2,8/10/2016 16:40,41.420578,-81.801674,Cleveland,OH,84,74,10,5.8,Overcast
A-226283,3,8/12/2016 9:49,41.420448,-81.828468,Cleveland,OH,84.9,69,10,10.4,Overcast
A-226388,2,8/17/2016 5:28,41.372093,-81.833267,Cleveland,OH,71.1,90,10,3.5,Overcast
A-226457,3,8/18/2016 9:08,41.411377,-81.615723,Cleveland,OH,73.9,79,10,6.9,Overcast
A-226461,2,8/18/2016 10:38,41.420975,-81.689758,Cleveland,OH,78.1,68,10,6.9,Overcast
A-226466,2,8/18/2016 12:41,41.420975,-81.689758,Cleveland,OH,78.1,66,10,6.9,Clear
A-226544,3,8/22/2016 18:09,41.425854,-81.764709,Cleveland,OH,75,44,10,9.2,Overcast
A-226553,2,8/23/2016 7:11,41.425117,-81.571114,Cleveland,OH,63,70,10,11.5,Clear
A-226587,3,8/23/2016 18:05,41.420506,-81.816078,Cleveland,OH,81,44,10,5.8,Overcast
A-226646,2,8/25/2016 8:52,41.418678,-81.728111,Cleveland,OH,75.9,82,10,8.1,Overcast
A-226667,3,8/25/2016 17:08,41.425926,-81.761238,Cleveland,OH,91,48,10,21.9,Overcast
A-226669,3,8/25/2016 19:15,41.421535,-81.70993,Cleveland,OH,82.9,69,10,12.7,Overcast
A-226728,3,8/29/2016 8:11,41.417164,-81.594551,Cleveland,OH,75,71,10,13.8,Overcast
A-226829,3,8/31/2016 15:45,41.417164,-81.594551,Cleveland,OH,78.1,79,10,5.8,Overcast
A-226901,2,9/2/2016 11:43,41.422787,-81.71566,Cleveland,OH,72,64,10,16.1,Overcast
A-226981,3,9/6/2016 18:48,41.371895,-81.820786,Cleveland,OH,89.1,48,10,5.8,Overcast
A-227018,3,9/7/2016 18:26,41.42181,-81.734482,Cleveland,OH,89.1,53,10,10.4,Overcast
A-227097,3,9/9/2016 18:07,41.420456,-81.78875,Cleveland,OH,81,56,10,11.5,Overcast
A-227099,3,9/9/2016 18:24,41.420578,-81.801674,Cleveland,OH,79,58,10,10.4,Overcast
A-227140,2,3/22/2016 10:00,41.394276,-81.710419,Cleveland,OH,43,56,10,13.8,Overcast
A-227146,3,3/23/2016 5:12,41.425926,-81.761238,Cleveland,OH,55.9,37,10,12.7,Overcast
A-227208,2,3/29/2016 7:59,41.425262,-81.801468,Cleveland,OH,37,82,10,9.2,Overcast
A-227295,3,4/1/2016 17:57,41.411701,-81.616577,Cleveland,OH,46.9,80,10,11.5,Overcast
A-227296,3,4/1/2016 18:19,41.413364,-81.606682,Cleveland,OH,46.9,80,10,11.5,Overcast
A-227312,3,4/4/2016 9:15,41.420448,-81.828468,Cleveland,OH,35.1,92,10,18.4,Overcast
A-227345,2,4/5/2016 16:30,41.414337,-81.585114,Cleveland,OH,34,48,10,11.5,Clear
A-227347,3,4/5/2016 18:23,41.408897,-81.632675,Cleveland,OH,33.1,54,10,8.1,Clear
A-227420,3,4/8/2016 10:24,41.422199,-81.843018,Cleveland,OH,34,70,10,16.1,Overcast
A-227445,2,4/9/2016 10:53,41.420578,-81.801674,Cleveland,OH,30.9,57,10,20.7,Overcast
A-227696,2,4/25/2016 7:41,41.418907,-81.711098,Cleveland,OH,55,47,10,6.9,Overcast
A-227779,3,5/2/2016 7:58,41.413361,-81.604279,Cleveland,OH,46.9,90,10,11.5,Overcast
A-227805,3,5/4/2016 8:42,41.420498,-81.587776,Cleveland,OH,55.9,64,10,9.2,Clear
A-228071,3,5/23/2016 17:15,41.420986,-81.807663,Cleveland,OH,73,39,10,10.4,Clear
A-228084,2,5/24/2016 8:04,41.423721,-81.707619,Cleveland,OH,63,60,10,8.1,Clear
A-228099,3,5/25/2016 4:02,41.371895,-81.820786,Cleveland,OH,61,60,10,4.6,Overcast
A-228149,3,5/26/2016 16:39,41.425468,-81.765762,Cleveland,OH,84,51,10,13.8,Overcast
A-228243,3,6/2/2016 16:00,41.424583,-81.565384,Cleveland,OH,73.9,76,6,5.8,Haze
A-228276,2,6/6/2016 6:40,41.421535,-81.70993,Cleveland,OH,66,70,10,11.5,Clear
A-228279,3,6/6/2016 8:06,41.355396,-81.819267,Cleveland,OH,69.1,63,10,11.5,Overcast
A-228376,3,6/9/2016 19:11,41.42181,-81.734482,Cleveland,OH,73,29,10,8.1,Overcast
A-228465,3,6/14/2016 18:33,41.420475,-81.818771,Cleveland,OH,72,44,10,10.4,Overcast
A-228518,3,6/17/2016 16:58,41.423752,-81.581665,Cleveland,OH,75,57,10,12.7,Clear
A-328766,3,1/27/2017 16:29,41.42181,-81.734482,Cleveland,OH,32,69,2.5,17.3,Snow
A-328784,2,1/30/2017 5:57,41.421104,-81.686104,Cleveland,OH,26.1,75,10,15,Overcast
A-328791,3,1/30/2017 6:28,41.423119,-81.846573,Cleveland,OH,25,75,7,6.9,Overcast
A-328802,3,1/30/2017 7:53,41.371895,-81.820786,Cleveland,OH,25,81,1.8,12.7,Snow
A-328805,3,1/30/2017 8:11,41.425926,-81.761238,Cleveland,OH,24.1,75,8,12.7,Snow
A-328806,3,1/30/2017 8:14,41.421535,-81.70993,Cleveland,OH,25,78,9,18.4,Snow
A-328808,3,1/30/2017 8:19,41.420574,-81.802429,Cleveland,OH,24.1,75,8,12.7,Snow
A-328811,3,1/30/2017 8:49,41.421783,-81.733307,Cleveland,OH,24.1,69,10,12.7,Overcast
A-328812,3,1/30/2017 9:12,41.410778,-81.619247,Cleveland,OH,24.1,75,9,13.8,Snow
A-328837,3,1/30/2017 21:13,41.424747,-81.565346,Cleveland,OH,25,66,10,6.9,Clear
A-328862,3,1/31/2017 8:21,41.425926,-81.761238,Cleveland,OH,32,85,3,10.4,Snow
A-328865,3,1/31/2017 9:35,41.420448,-81.828468,Cleveland,OH,36,82,6,17.3,Snow
A-328892,3,2/1/2017 6:55,41.420448,-81.828468,Cleveland,OH,36,73,10,11.5,Overcast
A-328894,3,2/1/2017 6:59,41.421074,-81.840225,Cleveland,OH,36,73,10,11.5,Overcast
A-328895,3,2/1/2017 7:05,41.371895,-81.820786,Cleveland,OH,36,73,10,11.5,Overcast
A-328953,2,2/2/2017 8:30,41.42028,-81.830872,Cleveland,OH,26.1,58,10,15,Overcast
A-329089,2,2/8/2017 9:13,41.42181,-81.734482,Cleveland,OH,37,76,10,11.5,Overcast
A-329108,2,2/9/2017 7:45,41.418812,-81.848503,Cleveland,OH,24.1,69,3,11.5,Snow
A-329119,3,2/9/2017 10:15,41.425926,-81.761238,Cleveland,OH,23,53,10,19.6,Overcast
A-329122,2,2/9/2017 11:20,41.429256,-81.592812,Cleveland,OH,23,58,10,21.9,Overcast
A-329153,3,2/10/2017 7:15,41.420448,-81.828468,Cleveland,OH,16,68,10,10.4,Overcast
A-376459,3,2/14/2017 6:34,41.420448,-81.828468,Cleveland,OH,34,59,10,10.4,Overcast
